token,chain,address,balance,share,post_exclusion_rank,tier1_label,tier2_label,tier3_label,final_classification,classification_source,confidence,vesting_status,notes
COMP,ethereum,0x841ed663f2636863d40be4ee76243377dff13a34,241472.70846650517,0.0274128543981999,2,,,,,,,,
COMP,ethereum,0x3bbd4947df4e1bd80d130ddcfa9b54f1b03a1a8d,228704.28890891,0.0259633372728473,3,,,,,,,,
COMP,ethereum,0x4290cd12f6ff4cdea0638916cbfb229b9d2c8806,179221.85481052543,0.0203459125550735,4,,,,,,,,
COMP,ethereum,0x7e9955e7f0c1c88d76d13720b5dd122cc3f6d8f6,152047.02971562,0.0172609282172822,5,,,,,,,,
COMP,ethereum,0xeb6332bbb14b1488efb3a395b8ebf6a6904c4241,133597.9201,0.0151665186300407,6,,SafeProxy,,insider,tier2_blockscout,high,,impl: Safe
COMP,ethereum,0xc78e14e378b035b53561fa79445069d379b1f868,115513.34055481805,0.0131134918135817,7,,,,,,,,
COMP,ethereum,0x6522b7f9d481eceb96557f44753a4b893f837e90,106518.30859868648,0.0120923432834371,8,,,,,,,,
COMP,ethereum,0x3e0f52239518b540a06f81d51ac4ea7ffdece329,101000.0,0.0114658849515585,9,,,,,,,,
COMP,ethereum,0x7c01aa3783577e15fd7e272443d44b92d5b21056,100772.25,0.0114400299486108,10,,SablierLockup,,contract,tier2_blockscout,high,,
CRV,ethereum,0x5a52e96bacdabb82fd05763e25335261b270efcb,71000000.0,0.033570604854194,1,Binance Hot,,,exchange,tier1_known_exchange,high,,
CRV,ethereum,0x72402ce4d16619e88ceff669634997c360b0f0ad,64786992.2785331,0.030632936865836,2,,,,,,,,
CRV,ethereum,0xbe7be7023902f09cc28f0101a3e6e313bf2bc626,43248793.48083222,0.0204491289628966,3,,,,,,,,
CRV,ethereum,0x611f7bf868a6212f871e89f7e44684045ddfb09d,32366473.26927671,0.0153036913330524,4,,,,,,,,
CRV,ethereum,0x3a5cc8689d1b0cef2c317bc5c0ad6ce88b27d597,32207104.985893607,0.0152283379574504,5,,,,contract,tier2_blockscout,medium,,
CRV,ethereum,0xd2dd7b597fd2435b6db61ddf48544fd931e6869f,26608520.976089016,0.0125811851189129,6,,,,,,,,
CRV,ethereum,0x7dafba1d69f6c01ae7567ffd7b046ca03b706f83,25948418.846837025,0.0122690720520885,7,,,,,,,,
