owner,balance
DyMDs1U72NcukPZmR673XjGPMW35nyraabit9om4eQxu,1.4321142661483384e+16
9AnWrvNBN8K5Nvo1qd4mCFEEaQqLM2N5ZEz7H7g5jDAw,1.4262787801770498e+16
4n9RrZuDCL8yKm7nsWjKogRShKxQQXF92XmgJj8Sxj5k,1.3802310908337966e+16
9b9TecpBcTtko5uuy3xkYC8roopA4Vtboz1xSrZhVrWz,1.375503201536384e+16
7a2UCkSoCdncibfHQA81qgP4bVbgEM74QLcpPzYxWBDf,1.3536435976804172e+16
FbhRBN9mbbtoWjLCPAZcKjX3PEPndrwDVxvMJWVaSwmi,1.3415324516793496e+16
E8rhxpnr5D8rBeWYhwoeTMzDLqAwQVNmFX42XgoVmFNW,1.32334666924603e+16
9eYFAc27n22nZuKc3o8ww7Cuc1RDPZq3pJJ7WSMWwhzR,1.2699623547399232e+16
6PLFCFt81WBA87ZnqGohDpoZ68589rfJd97tqo7fMYZM,1.249866146077248e+16
5m4X8JHGpr6Q76HGtebL8B82Rkd5dNCXFPLj6DNXjfHC,1.248957172585546e+16
8s9j5qUtuE9PGA5s7QeAXEh5oc2UGr71pmJXgyiZMHkt,1.237948256154586e+16
67Kzg5KEq1NxJDV4bKXApWReeJa3wUkFj3fvXbGfib98,1.2317607141137268e+16
5LYYpNY9QDFrt7guJxqk6xVvFCJ65sRYGe3iHmfKRNZk,1.223801873949336e+16
FjFE9THPEBdpd9K8iXEYsFJXwDWkjEEc4Dg4YfUGUCoU,1.2100000148974496e+16
2dCFdMMU4WuETTJhP8rABUxkwQxXEMCNW3m7axg8Fhjf,1.2000983545798396e+16
25ur4kv1z65dPCdzuKwzVoTYDxvNm3AKMV9yhmdTQDr8,1.197286222520401e+16
DiFfR2ZJSTKpqvKczFwxTHJn8eDciBugr9GqtjZoGKeQ,1.1862308590268156e+16
JB6HUvja92Na5i976cNN4H6HzxBwAEAAkCsvz6JqXmvP,1.182014278558634e+16
2DQe2MZ5hFPPXbScBPztP6RoPrX788kFxnnpGH6cbhJE,1.1780678629252904e+16
Ed9aXJgCX5Y3g2R7mWS6CYUbPRuDqp8Mo695V6FhREKE,1.1461951560030762e+16
97FCRJ9hEBmth1RsboPfGJyRoKNzAgyPb7aSVhRDay3d,1.1000000682037616e+16
8PDTHfVCPGzyF6HBjQYVkm5HUvaftYmZEVdyw5yXe2H2,1.0993925848733536e+16
Aj8ygmigT3CLUTRkhJXBbGbyk9dvUEyw6gNchRCVXU6p,1.0912183265933486e+16
CsM2oXbArFsRpZv9js9t6RXZFza8BmoaVZF1cfrGQ74o,1.0870131281740974e+16
BwGDvB8Tkr2fRrjkFzeQSxjc5gHnnxkASFZ1f497T3wR,1.085456272114223e+16
HDRhauJXKF21SUF7m1UkBCED7WRnABvHc7R44Zcnzrj,1.0654470232784418e+16
C1jNeRchrjhFMyBhonS9c2XthCr1Srr9phyTMC9en2Ua,1.0214822319711824e+16
ASYp3h6mKEbsq2Gn9hMPJmXKxQLmC6AGFsnA9xQfp8FS,1.0191561981234084e+16
6nhkBRx7b1giNQbL22ty2TchjLDcPGVyzukbmmKnSjaF,1.011408452479628e+16
6XawoVJygXmirMGPYqFmw911t9fTmQQhD2P334wjWuM3,1.0089844588105814e+16
FphJSp6HCxg5hp8NWmppqjyw41tAF7Po6FkCV7Koq14M,1.006458123462877e+16
J1sG7mj6sQE7XGb3KWHSpXuWiofT3wgL7dDbfw5B4Yo,1.0049792067704944e+16
FqnhQcg17kdv5jrX8v4rrMjrp2DsM4WuDSQrpM1vu5UL,1.0030441e+16
HAsQmUyQfp5T6VWWTQB5qAFjjGwDCJ4p3nHEoXSLiJxa,1.001513313456412e+16
8cdizo4xbbmxsHJ2xQohdDbjsLX5u34Qy4uCSgLnC4J3,1.0006682752110396e+16
6b2TEcQpK4wrWUg9gFxM8hDKjF1KXCWai4nrwxJpMXwP,1.0000507428343462e+16
5yxQ5R6phVJXihhGjzXz9VREYhBYLZtDkqYHZ8UnZn2Z,1.000000261464354e+16
6w8axzDmW4ouRBT8juYhGcQZam21erhvXMm8V8UosgMV,9997563000000000.0
9KxZwhuvfoP3KJs2MLwffKXLzz8B6LRS95jyuQuXUFJT,9963553073755900.0
3MT3w31FLckYqqYCzocZGKUqi2v2AzMrQKo2ds3nhwgW,9644706087309144.0
4QcHPXj8NQW72GJJ8gUpPVRMNVthzcm1pqpgZWEGBBiR,9617620827997212.0
C3GS67zynm6LJyHDmooUtcSWzBkBefqARGPq6scEpCNX,9537470500982584.0
CvUA36bb98evqEMv3us6Y5WXeQfVcDZbQhSJZTT4kDBP,9365996148743604.0
CHZoYPC3rxbeeDGvcd6GFDxCGShXu4fcKke2xvm1ssqP,9216189427586996.0
5A9HFwZDguQfrU9ZmdKQ81SfmZUHQbKPJVE7otjAKH1z,9165559238712460.0
82Tyq6ho4JtwJXTrb1jk1ZvPJhFaFP75DWpyFTpuqHmR,9113421647571636.0
5y1eVKk8W8TqQuzzaTjjQ8vMNrYDfFDnTfeZAYGzHwBu,9111183123361900.0
6C5ZTaQ7DTry1iBWbNvqSppTFhFdZDbVAFkCKVPuEHgR,8964227818684070.0
GsCY6n5RY7v3qcDAzGYcDShNzthngVs4So4b5nmVuqSN,8900374570678457.0
99qkHyLSiWHRvzj6pbJgtDCD7KpPAqzy5JxQT6eaiTK2,8796676612799720.0
J1cpSoop6h16PyBSUiVnQLjdRjmGwMKrqbzsEuZKcE2p,8774532353323436.0
9qjfadmqJCYUrf6yJe6R6fmPp8hyz1SFXAZgFewo7QZB,8703856189617716.0
GeS5jiTNg9EzUrYxCDBfS8stdXyftXePxh2rsvivLKy2,8691746114705299.0
8aBFdD38r4ifNV4pxbYv6QLSTTJ1gP2Hk48vbbneXZ8w,8622591748166872.0
B6E6qJoUEyNDht9PuKN3jkPL7Re3XGNsBDtL9Su1mZC5,8558820366840133.0
HPz55UGL9EDo3nkQ6mUHCdzjyHaPxdx5Hyd866htYVgu,8228243236510162.0
8eNEmN45cfcrPyaivt9FnrvzsADG9dDYXWZsCc3v7Yun,8203104845979640.0
