token,insider_count,n_top10,insider_count_frac,insider_balance_frac
FXS,3,10,0.3,0.2295
SNX,1,10,0.1,0.0618
GNO,1,10,0.1,0.195
WLFI,3,10,0.3,0.6741
ENA,2,10,0.2,0.1364
PUMP,0,10,0.0,0.0
JTO,0,10,0.0,0.0
BONK,0,10,0.0,0.0
KMNO,3,10,0.3,0.3665
DOT,0,10,0.0,0.0
TAO,0,10,0.0,0.0
ALGO,0,10,0.0,0.0
