owner,balance
FixDET3jRBMjT9M69Wim8iRpMQiJHkSSfD7wivStuuph,695445935965000.0
9k5L4HRLyivBRnTZdEsCw4aSjSQxhxumYPeKRbNusA8P,681867567130000.0
EGTodPfWCDznfJuWd4UJHMZsoR9u9BofHyzCYk83FqYm,663229636000000.0
AMW16oZp9qDh6PEJGYu38zdPkffgrxbrQAhBTaxFoj5x,660001500000000.0
44YLvsHWqLctxjVBZeL77inGqn7sV64AFbp7bqhPPCN3,625000010000000.0
BcmaXnztGU5ZS1TV5b9sebm1cYBNmr6YqXshcnR1G4dW,625000010000000.0
6cmq4Gi9tczKBd4SgQdVPxGhGhRzSyYWXmQEqQh4b6pN,621815348530000.0
HXDAHHFXMHNpPStytzg8dmmePHUNFc1HAGSPWrBNxKGs,620000000000000.0
AVPKzX2QZ8E23SWR728yhMTnnqr9UjAZdgemfaE3qHg5,615390369000000.0
9SMp4yLKGtW9TnLimfVPkDARsyNSfJw43WMke4r7KoZj,613999206988136.0
FX8yzhzUUM7VRo8syDBT523pbTj1TjEzY5vLLWSf91eD,609815945593430.0
8Q5h2sAmdHw3cuPEE9jPWrbK1mqJ8Vcqe91byQ9FUMTL,607794561000000.0
Gm98QzCfGfJaWWSvGNdPKza21kEs4VnYAs1EKzGy9dsC,600000010000000.0
HbjYfcWZBjCBYTJpZkLGxqArVmZVu3mQcRudb6Wg1sVh,597236793108513.0
49mvMufixEbUMzZEUVAnbQ8hLLuEWy789XfKUNTz7wCv,590976309789711.0
GcGJ1V1TNFScT4XzrTQKdZTqVmcheYmmieeK1rufr2yK,521969898482030.0
7PypumCQ4wco2bV4UAjCwbrdCdnWwyAacjxRhX3yuz8R,520790295409905.0
BGSLvBb6Rn4r21skKtRyE8NPXvkmkbUdNtDqGhTDWTe5,517975884842335.0
BWR4Sc4EVF8BNKotToMJvUGvoNVymy1i2K4Dt3vfKsdd,503212724521882.0
DbzsgT9ukJL3jpHxjLzz1X2iw4v4Rbr1iDtDq3zcrvDi,495051564703914.0
FWMrpLyjDnpaMcRrD83baoHrny9fhitEBa5HJeRzJR8P,488861148331953.0
EuH2wD3rkVp5uosoL8v5kRTMLT5L6jvbwXAXRSEwzdwG,480857817693932.0
6BhBoBB47wSGjK5uzcGWNcTf2oNRPQNuv6GVdkNyj9PB,470690400000000.0
4Rq3s48emRztfdruEZZsmBSYgQCT7B7xCVj2TF8ufGyY,449999500000000.0
22Wnk8PwyWZV7BfkZGJEKT9jGGdtvu7xY6EXeRh7zkBa,446960744346381.0
8UjiSXFU45bZtovQjw6NCiNPBYFFLwzKcPCesFae1zGz,439439503100000.0
88ao9M7PuNoyubW575bhUM6S6wbrVPUwUxsvy8EXBxtH,430885529000000.0
AVr8LrXzt3iFD9vKYkr6N2a7nopuKtdkdqwN3XrPmT3E,430573783835139.0
5vzRQzbR6i2796erutrboNs2rDVN7JA9mwpw45sBYp2g,426217940766722.0
H5biaZ2G1xU6hBHVbgzaqN3KuRvdwXmWxhxh5YN8QPuZ,406499733333513.0
5af4v4d8ZZobpdr8YRGakgydgRhPqw6Z19t8j5o7fabD,404960010000000.0
8fkxhFCCdzNRYQzvxgjKdFgQo9ya4it2W8GxFUup1qGd,400000000000000.0
6PHUHbHFyMzr5byrWsn29XKwXwkon4XFj12A4DqceJ8o,397611432662323.0
4RwinJ2Rc1KPGYnifqoouQePA7hohgMD12hjBjjV77fG,394115892880000.0
54Gizr4Z4kQ4eqLsGYkVeqCYP7V5M5Xm3CXXX2QYoubE,359254882945986.0
FZ1t8TZtx7VSCQdBsxvFJiezj9paUBF6Ub7RKA2eTGyE,345879589480000.0
ASTyfSima4LLAdDgoFGkgqoKowG1LZFDr9fAQrg7iaJZ,341794301313511.0
2Ejnns2Fd5gsZdFJbnkZmQEwbrgoiMc2ikKcS2z2Ps3e,326274511749452.0
D1j79bQ2KoTQ7cL5X8EbSPyQnpSduMZMWqPwBJ4wLcT5,318750010000000.0
AuqBCsK9p6JonDmf3SANmQLcuzVwC5vHGR7ztjTBQF3s,300000000000000.0
9trzhTbWL1oriXVJ1e9yCv5pYqx6YzsdVxESxH6Gjgi9,295031838344243.0
B86WT4kLrYrgwczM5yAayFsg3v3s9i5vMnNgPjB9nsg4,286527166722278.0
DMHbiCrrG4tiAprfa9Df8KXDG36Dg7xqpdATEAHFYFV9,278679403378763.0
7vxtQ7sDP28xiS2nUJbz8pRYMCWCUDtabeMEuBXSUZnr,276519287089999.0
8gwXpNog7tHAKzXgzQCejm1yxM2Ai8SnVkWLRNBAznJt,273866123410201.0
AGiAVqZiQrz32m1zKC5T4UfQKcDoGNG34sqSHSVNgwtv,266718323344000.0
HiXhw6DyaFsGVntujTDrRcmutEWMfgD3edAhXZidv2PV,260592504002603.0
BofA2ViUSudPBTUms2KRuG6AHNeMawjNfwqTJDgx5BKW,257891667491586.0
5z7gxL5u4jCW9D6acu28LEw4RKTiBSG1EmXbtCX7efg2,257219405030000.0
FjxgGwchRnwxaEcTTNJ8MHkoUqZDHwuEVHawMGASx441,256894603906879.0
62Qi5at2WQwFQqvieuYp2eBK7D2iQS1oNmE4NcLnXn2Y,250000010000000.0
H5M8nzZSifEEdCCjsQwp6cZoTGZH3JKojhndvkx3UVJL,250000000000000.0
Gh8689bNiYde9oskoLhxYUxqbtttH4sRi7qs3oaDouE8,250000000000000.0
Hm4x3ZguFCXQgdbfhVv8ik6gyqBNwTWnhuEWTpY1jMeE,249999875000000.0
Fx6jYNeXjQcDU3nxrEhVojM3BMpdjQwqsvZDnZx5KxTn,249999750000000.0
AQGqAtRSqr5J9q1z5bZkXM7SZWu9xt1YehVQkUCbveg5,249999750000000.0
3kjP9LTM7RLUtUJkcmBdL3w6q5AuiqRtMPDiQKqeFzB3,249999750000000.0
BLZQa9FaPLvqrgp2AVFpawxA6VzaTifSvEfV2R8nwi9a,244435191195610.0
7vLaeTeQiSUXREuxyhW6SUi4dXRscM8TpHiwuzDN9HXg,242899339101950.0
6xfPFKnwv48XvxpFf4athewqGFvSTKQcMmfzYapgZ2sG,236868170134391.0
GyL9JZ4PFFGd1LiX7tCWvjTAothh4XMPenbyu2ouZqbv,234114656341634.0
zaScPesBAkywbPbhH9VbH6srm8398X1UJXpokLdVHVk,220000000000000.0
GBrURzmtWujJRTA3Bkvo7ZgWuZYLMMwPCwre7BejJXnK,220000000000000.0
6gVV6PiRfAmCWBocCAASyvhFjihBakxjybFEjRbSoKvr,217765703643360.0
3Fy5oFavnWzTZ8YRBhZkyT3ioKtBSDVVxFkbSPefJHyF,217201714101636.0
4GC3a1RkRXx5shwGP8pTY6cxXgSWkbfc66vM53a6qSKj,202106414093432.0
9ksqdjfmkpy2iDjzngG8Aqez5reYDgezDDSSAF6ey3T2,200399198827485.0
MfDuWeqSHEqTFVYZ7LoexgAK9dxk7cy4DFJWjWMGVWa,200018850273251.0
F8jBtFFt6V2MJinfbDgJUyWgTPJtag7KsJXbpk2VXDXQ,199370571658775.0
8d9FNC7AgKLTCPKNd3MMkLLXZYLmiYFYR3vfXMBNJVNx,191968722768230.0
77mCuhNEgFvvX3jw7afUmHnwVJLxw4H2Gzd5SX9TmEF6,190272727000000.0
CAqxx3x3vgyhLwJDrpKPosF2KhEcEGnfoLcjifyLKaxq,185739350069147.0
ECUa5EfrNgNPAp4SsjZyf6qhS1rvQE14wvLBurYBctfw,183881634636245.0
5SDrsMNTYdhmApjfqYHDvjoW92f2S42vcc7zNDVcQ9Ej,179961503790000.0
4yqgcP2EvCyyE14Zd9H2jPFMK59q67YUz7bBnUcKcfVE,170590834845327.0
71S9JBgFBMntHdfdAoj4hafg8276kqHKcUrQZBkUX56m,170566909392887.0
9Tv7siEtYvJCYTt1NEwt5NkZqgRCjBQBpnDKKVWPZtCT,170253018989495.0
6FfMD6kqraWzixZnEzyR6LHLw6oXgPpqSCK6UcXUv2sw,162206361831389.0
gjsbSsJFUU3nKq3UVhLEXM5uDpoqhh1Qjj4aMqqEn4J,161875357223585.0
HgidJD2zcYuqVgfabkyveAEAu7QFS49X4bCAqPti8Gvq,160299011765296.0
Em51wZanaayrC7CL7ciaqrciE5RnUTXBowHL5kZeAULS,159612510033884.0
AuFwLmvZpDdeMFLNEVUw2MT8PnT8q6fxDk6WpzppQDZR,158388376262601.0
4raqd4tCEnm2yGeUocVqPgN2MPB1W6A3EZfC8LoMChvf,158298244053002.0
4P4kEFxohJSAKawXK63JvRE6obYz5vUjJ8xX7swQ4DKW,158183766614725.0
D8iishPEtB9XUF3rEtZVDR2cENKrWAvWtnEPTU8UWv56,157904030988399.0
2YxQCXt9spMwoQZiwFLwdjHtscVvXi4nmxCkQCD6Rvgg,156697996766054.0
65VinFQGGAdGr1VDYbBu1joNSYgYTNZdbEgTGBxnQ4iX,153034601247933.0
DaPHpTGE5DmSiraFNDQqpyxCQ1E9kR97RvfaoGzo5XNY,152347931832308.0
887vBqknV6hhUkFp1Fgf5GUkG3DmpcFQyWwsZSUJGEn3,146266729476074.0
Dwgaka8QiSkFQ3bGXhZpmncM63DwhjK5zzQRiqt9WA8K,145084087236857.0
HP17G6p11uMpWXrKyfnPePYaXnAd817Ghthf5Z2277cj,144572555560000.0
