owner,balance
GefLbF66gzJzKuh869KQLrG3x9k3rSdxDftBXG3vqi6o,1750000000000.0
4to4ug49VsTb3a4eRoejHHi2dd7tNDGEKJAeWi6Fs1z7,1738534330000.0
HGgHUpmWgkaXZTjcwhaYPYbYArDNCGpyS7UoYDcfKaFB,1702151739052.0
Hk3QC4kQTHFH86krougAw6AyAGGQTpCXTgnKdYtKXT4z,1691697500000.0
Hc1ZUTmhDsvEAsopcZsf2Y6HASrfgM3mNj4v5zP3g472,1666666999992.0
93nTJws4hidhApqkyTPwp3mepEn8SVfq5WR6npQxWZPN,1626841473329.0
6ad5ey5NJzZu4ofXNn6p68v48gtiZyV6zafv9vo23oo4,1615991957194.0
6assyDyJTfCkLJfv5YZSi6HsjYDxUguvihzSVkx2YJbj,1515151666663.0
98aoBaBE1NE9xfRGFf4nUsxB6smUD6fpxreVPRXybcTa,1500000000000.0
31N2bBpLy7w4ZBCpjeJ8p5NoUsTMUiim5cqKXuK24jix,1500000000000.0
BuGpVCB4cuGWn9ftzPGTxqJHDYWVK8ezAsDGYdG1PgVD,1387542000000.0
JB1iEnPZJzfkg9BF1ZjhgRiBDkLuBpfLQ1KtzX2731Wh,1372606615388.0
Am8MAEorCMAKxphqjAz3Ff59NEwPm4W2eS3DQLi2B4hg,1356391582434.0
BHJEG5oBApL39TGboyfp5goip1ARDuZN4DYPmeRCLZft,1350750000000.0
4JyLdBPNv5Gnssa6FdCaqDWW7ULPLAp18yg3Vtk9rqpd,1342797940609.0
EqJkCm8f36KPmbTb6iyD9VD7bBfZtjuNJCwJohvt1D2R,1306642000001.0
BmFdpraQhkiDQE6SnfG5omcA1VwzqfXrwtNYBwWTymy6,1303010404373.0
8CL2psiZZnPbJuQLqizQ9T8eGwResqkRrB6ycV2foRaQ,1300685000000.0
C6HpiaWk9fv7annv39REjKNqkXgmy9MuhWqtnz5UwQ7Q,1250000000000.0
GEB1j6C7dhphpMtcBY1HJz6HmVgihzPee6V75UJXU9Tx,1244037194631.0
ETh28zU8BRPv5kjDknBmyX7R1Qc2jnqb79KFVgicc25D,1212121166663.0
Aw7Yp4Hr8X4UxVm5qP2Fn7tCi6XEccgZPxtNC2MCkgu7,1211538461540.0
skGJC25R2FWvUp9a8F9EJ62T63fPVpTyzXoCi9EL76t,1208734000000.0
5UGZ1m1jq2FYjAihvAmbgJAe53imT2DEDLs5ExCkasqr,1200582000000.0
HiW2o8ESva3eyyA54a8AZbXbtVs6U4fvVbmFp3EQWoVT,1195308517398.0
