owner,balance
2Znjg24F65btQKiCbhe3MPmmEBS1WD6jHn41gT7ZrPTV,20000001000000.0
5BbUWFCcrkL3nb2WqhUKka6AcJwjhug1NK2FszhMjAXL,20000000000000.0
4dwzGthu84qT5523GSuC6wMuyRZux9xVccBG3Wvt4AcM,19896584771416.0
G3n6o6CnmB8PBZU5vRN4fki4vpnDMVHNxXACYYzHCDfG,19496013479573.0
ADJ8k34Yr21VXWnmWEaHvUs3bapPf4Lr24sQCbTRfz7r,18689556012008.0
F8YM2qk5zvDsjpa39HD6gvug2xvForuht8sHKUd8Dbbs,18687285381949.0
HdpYQo2nd8u7QdM59VSepJLZQcECFAnt2GQPgVzBRpdA,18539444444444.0
4Sccka3wvzHrBg6Mu6merjuqGQXzQ52MtufnfwNRtdEw,18419351034987.0
8d6DUL7Ep4GyfVKor6vT9GZRScRe1fusf8wquW93Z87K,18419351034987.0
BpgdhWupcDzWLDzBRsaXWFtnZ7iJgLaW8h2zaZomTdDc,17497193738015.0
FakYUb1ASj3R17zWfsd6U5idZSaJ7b4nhrqdnVjExAYw,17333334000000.0
FBkMc2yhNeYDnZfWEneZ2W1hdrhoaX1uwUw2sD3rAUqk,16700000000000.0
2NjzPB21RvYg1WBKf7iwK6rLo2mTGRnG2A8H3MJF7UN9,16500000000000.0
8YJNKGcDaJntrytSHnJuR3tiAnzXVYNarfV8WUbHPqki,16203928309999.0
5tzFkiKscXHK5ZXCGbXZxdw7gTjjD1mBwuoFbhUvuAi9,15546013477323.0
ENJrZPQRxsSG9pt33RM9z2AKzcCTqXSHWN72uKLL7GqW,15373905456227.0
BVZKUe5upiYWSSNBX4HJcSHPNBwnNjBgxfarbxyzz7JM,14362224236129.0
BeoLZxRjaMKvq1S5RKRwL6oa14H9K6LcHecy1SKGDea7,13857825383476.0
AwjSQ6DgBGasvwewbE7Z9uPk3tPoHRcxxHyRxiEEbNeu,13311262219016.0
u6PJ8DtQuPFnfmwHbGFULQ4u4EgjDiyYKjVEsynXq2w,13043324773231.0
6LY1JzAFVZsP2a2xKrtU6znQMQ5h4i7tocWdgrkZzkzF,12861661963487.0
2NVChdPgyjcSxF4g9moLg5uwA5JvHTN5mo7eo8DbvSLo,12488568964782.0
CBEADkb8TZAXHjVE3zwad4L995GZE7rJcacJ7asebkVG,12278004730000.0
CbHUr2JzNfrcbwoiNpfhuBLxATyjEJEtRWEryy7wRPSC,12120317000000.0
BXfCAVDKmpFSuEVhFpQD1negLVPvbEwqGaGHecVJcwRQ,12068309400001.0
D3GQ7qRYHeDN7Ci7afLuwaRBqb4EAgxXFKtYGLy9L3Hw,11509208239909.0
EFE3j1pcSP1paUzA86zW7989ZjsFP2J7ginyUqo4ewqR,11133369225600.0
Ar48jA5drxvFnVc4d6YWUj7dLDgn1eVNKAX2iw1hV5c6,10470781627703.0
AGVhmrhDi3RKLu9nxnRqp3CUpaG3SVeYXWkWcygHAk8N,10000000000000.0
A77HErqtfN1hLLpvZ9pCtu66FEtM8BveoaKbbMoZ4RiR,9368659554977.0
BLaQuRW6JqoTRrHZtcummaBusDCLoVfTLaHoAAtBxP2Y,8944016133251.0
8wM44Ryv9DFCSfkgUnPEPgnsc53arT4cnmXL6LnnC4UW,8921337499781.0
WLNqXyuW2aWR6B6USyYSoMBDBkMtrKKVMy2ZbH28dM3,8910439710917.0
3wfJKvD818GqAZQCp6vzNQU2A81872hHbd28bog6pEVe,8898394474119.0
3Z2AqcKCmdcCZ3iCUiFKtwUbrmuPcefwN3xRLTdY7XyN,8012820499999.0
ASTyfSima4LLAdDgoFGkgqoKowG1LZFDr9fAQrg7iaJZ,7794046549178.0
9xpXXyTp9nwijDQbUsBGCDmwtTkgTGTKtCS27xYvyhoW,7179754822760.0
ApKhjTnvFiYUGNgfWt94nHFZBwvCFpzw4dEYEUBM9N9y,6799450000000.0
8fjwjJCNoVQ3MtgzTHf4ZD74ndWjLsH91hjGTXK2DUae,6666666000000.0
7tqnhJkMZbJxWyRa5DsBG3bdZ6GsBB4hoSTntBXHx6zf,6626777530378.0
2jyhTcxvNTC1uFqxfEQwP7eAGYe8pZk2CTgeixkLpQoc,6595123940858.0
AZZL6F1cpXcRH1pqLTBZEiPUUftmSUcUmuopcV4HucSw,6458898786481.0
2nJjE2ba3iGtefN4UNM1KN5FdYCwssU4Bzhc8URceqh6,6302706825988.0
4GTge1aRu8G76mP6GoZMmyCH9akexBZsjBYggApemJ56,6285382947385.0
A9bEHtteBwLZVwwvYAX2pPEKo82tMJG1yzAHAkUWVGD2,6250000000000.0
AkBDgrbASSxm91qpaijbJEXfDfhYLQsi5oRA5E4C9SrN,6090530282254.0
C68a6RCGLiPskbPYtAcsCjhG8tfTWYcoB4JjCrXFdqyo,5943636712671.0
2UL8hbNaoErAYNePqgQYPP9yDCDRZGWbzKW4krLqkhNL,5717803580026.0
BmFdpraQhkiDQE6SnfG5omcA1VwzqfXrwtNYBwWTymy6,5480747301001.0
