owner,balance
FkvMoCN53HFuEinyKkQAYRw9Pgc8pj9boFLWH3vqAssY,2852114000000000.0
6Yy85HhnwxFrgKtZRk4ixGpFGZyPssYnnoDBadcEtsuV,2812246000000000.0
3sH5mUo41nsELRhCogwwXgEPcKGGtqQRu3nq5m3eAB1H,2733643246375750.0
Db2NFMb9mk7AQCrLG5aavEwgYGFBDDMP41GqQSRa1g4N,2721985000100001.0
6LY1JzAFVZsP2a2xKrtU6znQMQ5h4i7tocWdgrkZzkzF,2674390718273192.0
J9Be3Pvn6Giy9SiPyh7TFw57fcBi2zPAoaGmfrdRRMW9,2629401000000000.0
4pnjGmZQRmU3WnHiTDnre4qMSMAwFan4p8GawvCaMfDp,2500000000100001.0
CSM5ud7YRZ5pdMGm5L8U9Rgoh6h7sUUR1JyfhemfE3vN,2328547127142855.0
CBEADkb8TZAXHjVE3zwad4L995GZE7rJcacJ7asebkVG,2312193220000013.0
BmJvUzoiiNBRx3v2Gqsix9WvVtw8FaztrfBHQyqpMbTd,2267318946086654.0
2urXukici8XHgF89Mc8oc5UR9D737Zb6P7qMzXUUnVx7,2249848000000002.0
E2RvJg2myWpKcbkhBuF81gfhYr6KvmNcDbSmr5qnatYy,2118894201127000.0
E6KBP5nhuJZnNcGJwDdbk6mNyQZWWyEzR3PBu6HegFsV,2116826697413108.0
C68a6RCGLiPskbPYtAcsCjhG8tfTWYcoB4JjCrXFdqyo,2089592549383609.0
Aw5ZurG7jj9kLmsZdMwtAxhpZyE3ySUKJAzpTZqtBD48,2066464750000000.0
HcJXyj8uKwMMHryx4NN8DsErTAHzNp1DrqmD1ATgmmoQ,2033598000000000.0
3LzmBquLMap6ak2ofyeDbH99VhJ84k336RJzkLBwq3b1,2012032366595000.0
FafvuuKWmsxw51Q8nWvLer3QwpesGL9NRmSWGED1UDHy,2000000000000000.0
ELJ38eD51r5br277R1K8wA4U81AKN2p56BtF3kbR3Wdp,1928066921714895.0
4DPxYoJ5DgjvXPUtZdT3CYUZ3EEbSPj4zMNEVFJTd1Ts,1800233402480000.0
7hErGqcSskb7zHjSQomjgcjQQ1v1wq6DhWU6FQPobAH4,1780560768947246.0
9zMgdpCsUUGShob3WvN5PBSGGkBajd1A9QPMPTWDAPPQ,1764705880000000.0
7DavXvkMJdySU4gUgd6PY7E2G73cGe5CL8itDKsajLeB,1764705000000000.0
H2b4f2fGSKFortxwzrMZBnYVfr2yrKVUakg4Md9be3Wv,1751248260573312.0
BFw5nqyHCwvKqx9gi8pjXa6cjNaS8F5sowSBEFggD4iE,1750152000000000.0
AVREtEgAn8XRVpbGruBLHdPtGjaLiE85Fathh5Hpxtmu,1742418355067690.0
ABsoYTwRPBJEf55G7N8hVw7tQnDKBA6GkZCKBVrjTTcf,1741690797822764.0
A77HErqtfN1hLLpvZ9pCtu66FEtM8BveoaKbbMoZ4RiR,1711585676149537.0
EgRs45RzTSESWY6TqjUzwL94fMNkCy9A7Jrbz3LfUxV9,1700000339285752.0
HVLoH3XAjYK7hEdqAqhGf3jZzG52km2ki2vkKh89KSWy,1685252000000000.0
Do2egeoxwDWojcgnwRVCFoRVZbFmefDLrpXBHJT2LN8h,1644468731323959.0
CNd4dCAzYcsRMV4KFjE16PzMGQV4UaB9cG3YFZExYjWK,1626063050300004.0
667HfVsf12LsS41CLoPVTifCpRVtAKgvT9HM84tJKX6d,1603948141739890.0
BEujf7dFe2RXvHQnYY2UTEruYxRS9JQL6tHvFC9xV4L3,1566137457134016.0
945Ek7r4V2QyGT2S9WBBacgxc7pwCKNfPkZHkBjSejeN,1556384646575394.0
6tkyU9kVTX2KnufkQh4upRzREjPFUvqYkomy3a6Mw1jz,1554927670506854.0
4TLsFvyycdtqBoYrU1QBF3FTph9p8ZdE8SziJc25Jurr,1521471250191488.0
H2358vTk4F7TscwG6nutoGZxQD8DK8hPSipKeL1osDvR,1480752590578099.0
8ABCzoKH8nBrSVpWShG9jJ5X5mwGhen8UuK4f7Vpg5NC,1434848886849383.0
6FdQxaYNkjMCvnzfpiZNeJPmuVc4GMvhquYDGiAsnQ4b,1425901000000000.0
3Br6ovrb2DLmYTToQP8CND8RS5RifqCcfdxjpH63KHxo,1424827000000000.0
4KTmW63zBF864cBfteizRiFCVXPRxhPM69moaFNB922G,1363052978200000.0
B3aGbseg8gpMosQx3d4Qdo7rMTokNYTcMXXXdX9EtEVd,1327366400000000.0
u6PJ8DtQuPFnfmwHbGFULQ4u4EgjDiyYKjVEsynXq2w,1315173262782132.0
3MiJbsiE1GeEHYaYjEERrq6q2Mp4DaCyXBTYLgarfxxc,1290713000000000.0
BQZzokMFGGRdUKscYSQZSdGAZ23HG2k8NgCer6dXZoEa,1272015655137295.0
AVPKzX2QZ8E23SWR728yhMTnnqr9UjAZdgemfaE3qHg5,1249792075000000.0
Gb7zgMgAjAGGsaHwCkaCorSciNb3XQNEq6fXE6PwZXdf,1200546000000000.0
24bF2MJTAjqmDUaKHzemic5hkwVqzAbkhjTRCGcynMPT,1178812383191169.0
Gr39xzQoJhmw4RaChF8WZf8NkPPQpnnpEiwEs3CqPgAD,1165399000000000.0
9aEDa6dpVVx1kAB2WrntceV2tfzmxhuG3mtpvKKri2eK,1146316543191912.0
FxswNqqy9k9ugX8nGxWT1nM2kSm6A2yTuFNH7EUkjQzS,1142857000000000.0
BdpGwRjH57yNiMQfo8J1oYi1K2WLE1cbxPWDjSsjoEPS,1114612810000000.0
HUJnn7c2WhSP4XtjcftZ9DoibPD22cxiPJUS7xKtabWv,1085227797986463.0
EFE3j1pcSP1paUzA86zW7989ZjsFP2J7ginyUqo4ewqR,1068223229662000.0
G2FiE1yn9N9ZJx5e1E2LxxMnHvb1H3hCuHLPfKJ98smA,1058864891173559.0
AtNgME7ribDTqtZQcCL2xSBFL9NgHQsDFCj1TmxMpPtV,1057671238005009.0
DnPQ7HeUDrfMRAKZ6ZqaV9GTjsd81Uhfj5dJNAr9BCj9,1044247806632563.0
3riYqVATFbBNNEwRPmjxJDXea36dhzH5acrz6ojoQWGd,1044247806632563.0
AoU9jcx7R2bXhqjK6ZztsjdZcALDh9DRJzd5dnAqVq4Q,1034251200000000.0
2bfzWnrzZ8VTb11LvJsu1XJpa8SbCPap2iBPFgNtCnLP,1002241054794551.0
Hs5SgWrnx66GNATRnNdPBpD6yDUQ1zxG3BEwyJAAw5SC,1000634801917828.0
7GDLvwxMw37d3EhqKvcJW5D5M686XMrQ3XsQFPtgzZA8,1000000000100001.0
9WMgfUUNF3z4iyP28wHhvK5a2UvvSP83Qwe9uAthZDX4,999999000000000.0
6t3c6v6VQWSNzkikwb5KnPZuFU7JUHNCw6F1sG27rrxj,999999000000000.0
D5dA8hgzrrrNYWXAb6TmdyURmP17fvtd99bPDAb1xAtr,993421000000000.0
6U55FTbzZB4y2bY7GcrShSEVf9b9X74yxoD9tQGz4PuK,985341000000000.0
72AxniG32842bNo2bcypHTiP52F32xypwYUZrVZbWqFi,974465448730000.0
6ZTo2qnx5kCBeXx5K1PVhoEnn5nzKZZrD4NfLErFusV5,964753103209000.0
JDFWJ5JtuNv8gfJt5z8JCpojRQmRJctT5e9aMXzT1wmf,926940639274042.0
8wM44Ryv9DFCSfkgUnPEPgnsc53arT4cnmXL6LnnC4UW,924088206776609.0
Div5WiVX5aCwQuquxnemHY92gWetrYJADoUVCoEsaizr,897083978078998.0
3ZMHRP37uSfyj49RNTNEzdG29VSPzxUtF9G7RicpqwMn,891780821922268.0
255Uro9Qz1NyQxCMFG7R7ZaLUbzvtSdPYLbhzXgWHpL4,864405951411069.0
CaEQkZLsb3iZRkfK1WidzRrwYc5qrjdQprF1W1koWmqs,852490000000000.0
GX9tT4x7bVbGMbvFWNnfsQdo5dkoouPjGoUWN9da8B2C,835638650000000.0
7muKsqJwrWczBKE5ZNvApvdsku6ZVjaWT6w5ZbzbxrfY,830850100000000.0
591jj644f83gpeccbDqyo7qGssLfCYALv5w9AA5pUrnr,813892650000000.0
DkQPUtht99yjAgQNtLh2UnuEtU6j6gsw2WPrUdiujXje,813012871092361.0
ASTyfSima4LLAdDgoFGkgqoKowG1LZFDr9fAQrg7iaJZ,799320327452027.0
6C15iGHoKLqEKYMnCNUFB8SM18biqfNseZhM4BjvvcXv,749999000000000.0
Bg2EoEgUngcVmfcaYq1f6EJ3EKaXz6MVmWgQJDuE7ji6,741004334400000.0
78N2SykNGJ1sVoc14SNDTM3TnU9y1FtwsQXZvJ2Bk9Bq,714286000000003.0
