rank,effective_voter,is_delegate,display,pooled_conviction_weighted_dot,self_attributed_pooled_dot,in_top100
101,162DkQfZdY6BvSTUgqsahsPwcSZre31VuEa7Zci7LrPjqxte,0,,12000.000000,12000.000000,0
102,12b35i6gjXhMzYU7Dy97RngXbuJngDJ8oeY15aM533mmqGaf,1,Dotcast,10968.000000,1890.000000,0
103,12as3j5X9K5MeUHAZo6SisiTkTdgnVhht7yEWAtdSJcKheeC,0,,10301.455873,10301.455873,0
104,1436oMyTcpEwbbMNjPsGNj7dmHcMRFe97NLAAkQhN8Wm5ffy,0,Polkadot Italia DAO,8024.500000,8.500000,0
105,14647SVT5oQUUbXnFb77d2Npi5se32m2qjJsGcp54YfZkqH7,0,,8000.000000,8000.000000,0
106,16dCDXps3qPcTGCWK6JHigEY8nnZytG5xRwyTrdwiySn7knZ,0,,7899.005841,7899.005841,0
107,16frLykgLH5w8pNsvzEMTzCESMpLqWJMr4SGJUJQgYniDzdb,0,BILL,7500.000000,7500.000000,0
108,16ft8Nm7cNhDA1i2knKcTop9oxvbNvM51CXmzLzuxFapxV8T,0,,7272.000000,7272.000000,0
109,14DcDVR8SBSc8t2Mb9e2zVY8ao5STaKv6aJjykePxvJh9xrt,0,,7200.000000,7200.000000,0
110,13VU8fLhRwXCBduM6FEahRpa9JGmGKruHD4DktdngCehqRT2,0,,7099.306037,7099.306037,0
111,14z2CnmqMX2kcWGp5VT68sovjKXZipjkNUPtaMMnz6cjXW3q,1,OTAR,6050.586351,22.000000,0
112,1vDjK8ZJZEvZhB4SV2VqmDDNqq7aeYQXczMB6aDmZBgqNxp,0,DW Aditi,6036.000000,6036.000000,0
113,138Uziu7suP23QGpcYgbRS1J3nkRXAAPfcwRX8EaYtLnYRn8,0,,6000.000000,6000.000000,0
114,12skAbzCGsCCf6sZEEamAAhQqd22czsTDE8JfBRkZunzLKNV,0,,6000.000000,6000.000000,0
115,14fezsyX7rEWmo1NcYp6HVnug1dmA9irwpG5J8MKLUzXZccz,0,v0d0l0,5570.369722,5570.369722,0
116,1KnG6VkHzFgSUrYgvfzKupojZH6Vx21i8g2r5tzN3UpWUVA,0,,5554.000000,5554.000000,0
117,12pC49PXThVQ5KMuaHCCPbZDAk5X6o9Uq7nvZ5nBBWF8FRwh,0,,5000.000000,5000.000000,0
118,12TzhkAWTkkpLUm9C3Fj849RFVGZRordx69D52XgrvMWCdk7,0,,4912.807872,4912.807872,0
119,14fiiokuMzrh8DvorHgM1yXt1kDBQwq8AGPyHxQz9JCXkLGQ,0,,4868.000000,4868.000000,0
120,1LSvoFpnspPhvwgJ1GLLT4SRHBmWXwXE26JHiiZJ4RKxHqC,0,,4730.000000,4730.000000,0
121,13zFreNJENQrTgnEqsWfy1Kp66e7t8ZJZUL7qRZ2FCAy6Ag,0,,4000.000000,4000.000000,0
122,142wSqB2pAedhfUuPtE8jzjNAnPkE8jhPMVdGQ2F9iqo79jj,0,,4000.000000,4000.000000,0
123,13NCLd3foNpsv1huPDzvvfyKh37NEEkGFotZnP52CTR98YFJ,0,JAM Implementers DAO,3878.738596,3878.738596,0
124,13QjY1LVfqX5jeN7hedYdMnSNwa8puj77N6hPHBM7DUtqcCj,0,,3605.000000,3605.000000,0
125,16MU26cEZDqsm1z7VdTYCAbGTtcDbTN8MJ1xrBS6W4cnNKvU,0,,3392.000000,3392.000000,0
126,13gGL81xontJHanhuJkmEBzBnzj79WMZN5VFjbSS7AGEWG9,0,DW Aditi 2,3304.000000,3304.000000,0
127,14zMTePJuYLjCcfZk9xaYk4KBLNM6jUAMLkQd8SX6VxsGQJ2,0,,3000.000000,3000.000000,0
128,12BkPLskXyXrHhktrinLxVFkPzzvCzCyVCaqHkUEoxMwSzeq,0,PromoTeam Validator | 0-5%,3000.000000,3000.000000,0
129,15zNhAGTETS6hFRV3XxDGxH66LRAWAPZkwgiudJmqoc6MoE3,0,,3000.000000,3000.000000,0
130,15m6bg6oMBv9aS6LjRZHvyFNz5EkAakMuE5fBT49Wc64gXHR,0,duahetcaday,2400.000000,2400.000000,0
131,16fUfF5mqL3cGGL3ai1CTL45UyNVTBHcbMkmuh5Va5M2yJ5p,0,HopeClary,2172.000000,2172.000000,0
132,134RuMpn7wT2bcjLWArWCT8M4Kx1xtut1w3aW6iz52AxTTf,0,junglanml,1800.000000,1800.000000,0
133,1KiAhyT4WkS2DZH9WH1ToXXq8ZuwZPMhhuWT4jPuZd6SYL5,0,,1539.000000,1539.000000,0
134,15MUBwP6dyVw5CXF9PjSSv7SdXQuDSwjX86v1kBodCSWVR7c,0,,1500.000000,1500.000000,0
135,142zako1kfvrpQ7pJKYR8iGUD58i4wjb78FUsmJ9WcXmkM5z,0,Peter White,1500.000000,1500.000000,0
136,14QhzKsxmrECK8EDpLzzep8tWcYMUPYfXGfmgqM8cVtYRJjJ,0,jslusser,1400.000000,1400.000000,0
137,134F3tBcWcQVo4tPLmTZxG11ZMqQwV9BJCS9ZroobCYb9xpo,0,,1328.400000,1328.400000,0
138,12edBZMqc5WsfM4b6RkcGbEDcuwoYmiZrmy3zR5dpFDF43An,0,,1257.300000,1257.300000,0
139,12BJX3CtfkqQtiWXAvdSfvr4xuhQga4HYCyQ9gaATu826nEr,0,,1036.800000,1036.800000,0
140,14DQTCyH5gZFoPnYPKSw7yd3kgAtYCDnaciba2TE4RwHyeHA,0,,1000.000000,1000.000000,0
141,15MjWjJ8fcN2GaAQrJ7W3J9RkgTdQxGibEmqaNhjcM46ZAd5,0,Steve,1000.000000,1000.000000,0
142,157h32oHRmiRLiih3fPNjBLCfysvgRRgBUz3iBoRWc8xb2jm,0,,1000.000000,1000.000000,0
143,13wXYFy8erT1gDe94SXka5oxtTfbtn33Y6ML73GwcSbpoWHp,0,ChrisBck,1000.000000,1000.000000,0
144,126PvMw34oFYv5miwXQ3JXVP5eav8T1hkkYsiHijExJ4JorP,0,,900.000000,900.000000,0
145,15GRnWczqvcR34dE9YipNQDyWEPFCeeAkw1Xrv8vig3G3BSx,0,RegionX,850.000000,850.000000,0
146,139YLKvyLxEeG7asCwBZniVKacCibNMNdMPrq3ukrzagMqUV,1,Khastor,701.300000,1.300000,0
147,1P6MvswPET74iknSx2DTGmcVRCespCexCVmXT2KyTzGR5Hz,0,,682.797651,682.797651,0
148,15KKyMP4VodnKgYy1WBx6xDJ72BLkAoMhjGeMge38KyCn4q8,0,,600.000000,600.000000,0
149,131Y21vAVYxm7f5xtaV3NydJRpig3CqyvjTyFM8gMpRbFH1T,0,NeNa 🌻,500.000000,500.000000,0
150,13YJ7PrjwAhKHP9m99APDSuvLwWKSQSmKABfJY3H2Cepk2CA,0,isg.dev,500.000000,500.000000,0
151,12zbUQf8youSSj19S5Bx8RBfLJuxJMDNVtLHboKiUNL9Z949,0,,493.699375,493.699375,0
152,15akZwzufEzFzfh18y4Q81Ci8TXyvH6hyUkRrxJED2MjEYhe,1,LV,478.500000,388.500000,0
153,13xhGyakjrUPA7bW2r1Tx4uzf8UyYYu3gPt2HJa5PJoTKS7z,0,,421.000000,421.000000,0
154,14WAVMT53PQ4RM25xVPoQBL9ozLNwFBXiryqvuKipM9J4TwT,0,,362.254856,362.254856,0
155,14vtfeKAVKh1Jzb3s7e43SqZ3zB5MLsdCxZPoKDxeoCFKLu5,0,,360.278668,360.278668,0
156,15PYPAHAKZTN6N6RSp2T4ZmBpQAUSm6Z3PF8sZjQxtJ37wKi,0,,340.000000,340.000000,0
157,15wbv2fXuFoeRcrWK4Q1Y5oM9LfsJyGmMXaUWDoAWXpZzWSp,0,SIM-DOT,321.370000,1.370000,0
158,14g9EjR7CkDVSzBjyj1N13YKEFL3RXBMr4ACGhpGvbzuJ4Z1,0,,300.675156,300.675156,0
159,14csJdkMi9zyxhzUVmiwE4P57fknMbcUePEgRT8j2FW5pcsB,0,Nullferatu,300.000000,300.000000,0
160,129EYiTbv2J4LkYqRNssUfMuxNLYN8TW2LgfG1Gqyj8wCcs7,0,Cisco,300.000000,300.000000,0
161,15rBJuLqVsYLnD7fhxEmvY1vLHsA7D82nEsTibVuAYkwhuiW,0,,293.000000,293.000000,0
162,14Gv7FzTGuBuxToUtSdmLy3aEKSdXqJfRv6aYRmFJzcYznro,0,RafaelHappy,290.000000,290.000000,0
163,15QNS6ZDTqd6DeHNdHihcrpoA1R824ituiPGffxRW2zfc8US,0,Wario,276.000000,276.000000,0
164,126X27SbhrV19mBFawys3ovkyBS87SGfYwtwa8J2FjHrtbmA,0,Szego,240.000000,240.000000,0
165,1HecLiryfKdsg15ALk3wdKUL5fxvoAADoLqGyUyfLU9ZE1c,0,,237.234363,237.234363,0
166,14W3dYPKBEAK6yfqfqesqWEUG1V9gsA1wMTkW1ttBSmorXqh,0,,216.000000,216.000000,0
167,167Y1SbQrwQVNfkNUXtRkocfzVbaAHYjnZPkZRScWPQ46XDb,0,Alex Bean,200.000000,200.000000,0
168,14XwrFiV5qkPbpgEGcXJKi32qRfq8yJbqWNeTXLeGvHaW6H2,0,,200.000000,200.000000,0
169,16CwBowmC6fNyvBGwtZwoKFu8PDjTbd1pMovQRx2UyjhJArK,0,Petar,184.500000,184.500000,0
170,1EheUmzB58Y26i8hse4EJo9ffG3M5qmhHzrFXJMQLkY9HoX,1,SUNSHINEAUTOSDOT,147.900000,0.900000,0
171,1ZZWrSTr945a94PfAusCfCp5bc45FV5HGaJb4RM4ecifVnC,0,Stake.Works,120.000000,120.000000,0
172,121kacBKETYUFyiAmcsQs4Keq7GX9HNmNKihTwfs5Sc6Xzfw,0,,100.000000,100.000000,0
173,121C8Zq31JuqtUsgVKwZzah1sDTKWh1eMLg5AgvZ6pSyVu5L,0,,100.000000,100.000000,0
174,13KjiaQWGQBnjVNwm16Z3oZWjippu5QudRs74Vm5ziZRSw4U,0,,100.000000,100.000000,0
175,16Ziip8mK44sh7uKFkZgHbapxoKrRxriZaDdzqNAPW9Wr6x4,0,Rust Syndicate,72.400000,72.400000,0
176,1XA6jQ3cnLmQHAircDD4m2vLnoUKygqnYxQGU5hWiNRqGKM,0,,71.500000,81.500000,0
177,13TRAXTALwNp5vApqwiE74fg8G8ypMyaF9TxRfs4RwrCwxUE,0,,50.000000,50.000000,0
178,1HBqdE8RsKW6Q7ySKKEYeURm9oLJuG8PVs9szRFeTmKLE8L,0,,50.000000,50.000000,0
179,1HJLZzCPyvkGPiSF8xGVUhdvCfjRNxAgR35ZeVAm7XmMbUq,0,,46.500000,46.500000,0
180,124YsEuJcDNsEwVdLHunQ85vrUkeEyjv2BmPJwMrVrKdMTZE,0,,46.000000,46.000000,0
181,1QhVP5qzR2LfXqP77N1JcuwHoY7NH8JVRNFm1hSooE9d4pR,0,tdimitrov,40.000000,40.000000,0
182,14Xp8qTpNxZ1xfXHZvZMCMF14Uutn42eULPiwkC1yNHBjoaj,0,Anaelle LTD | Ecosystem,30.000000,30.000000,0
183,1NUuRnRKayAxnswLiFFzdM1rzqyLGLEZ1Fr9ugecfV4hzyD,0,Eric,30.000000,30.000000,0
184,153GQ6MRcZiSwRy7xEy3X8kQybdFMov9TWvQr8NDmJLzoFan,0,,20.000000,20.000000,0
185,16ft5ovB8AUZimWsWH6vAqukehDZgAFX3t7aqAGQccAeYo5t,0,,20.000000,20.000000,0
186,135yopeVfhGjyQ3eWeW83dJtVdChJQEfNbngfvsmvXJ4381v,0,,18.800000,18.800000,0
187,13b1wQcZXhWYxjwY9jdJkyJZu5p9TwFEXZnSEBPhca9kaAUN,0,jonas,13.600000,13.600000,0
188,12zT77KFDGJvAojXrvj9aGA3q1bRwduvaZ1sSmqJjaMmpNKP,0,,12.200000,12.200000,0
189,13zn3cGDRKA6h4TCUwg9XmXoJZVvvDu5k81X7376aAUbqbWW,0,,11.000000,11.000000,0
190,16KjnbCmBXqT3R956sHak7THsgQZ9Ek8ibnG1sFyCNtfJ8y,0,COSMOTRON,10.200000,10.200000,0
191,13awTVFxpgWKnpjfggvoQV8WwgnuBRfpDKbM2Wx8MoonVtPL,0,,10.000000,10.000000,0
192,15ziWd5qdyk4yf6MT5nZLR1CpytMGJ6iPCGVsQRDgUv78i4t,0,,10.000000,10.000000,0
193,1sYr2psHobrXRWgxYuE8wAHumytM5HnTmk1LvvTEwiW2cSR,0,,10.000000,10.000000,0
194,16UJiifTmQzh9jxsVVGGSPDgFNVHoYVgFkikhDYDUryTG9h5,0,Phil Mitchell,9.100000,9.100000,0
195,16kTKQ5d5QQsXTxAZyNc86iydGNPGV2qZUDiHQSw6xTiJge,0,,6.000000,6.000000,0
196,1xGrVAzbHfUfxFMRhUsDKWFcJNf1XMSNE2UqRjkYyFhrnqt,0,RichardXcavate,6.000000,6.000000,0
197,167egoVTQnQQ7C94KCurjHd6UXY3Xmju5yekJYyKNHoKTPCQ,0,C2Moon,6.000000,6.000000,0
198,16f2PAmWAxRc2pxDnvasioka4Xk5zqkUpqNENmXEH2y3Ahkr,0,CM,6.000000,6.000000,0
199,134H8GWYMJtTmTfJAnQZVFKEYWZmhCr9rEYEYUcY3JdgtyKC,0,,5.943300,5.943300,0
200,16aPu5eDzW5XTHQvixUUfZCAXiRXpFdiuRi49rcr4DGJmJmM,0,,5.000000,5.000000,0
201,15u2URLfGwYwLkhYXU3j3DQn85D62t4feafJFNsekKERCj25,0,Daredevil3x7,5.000000,5.000000,0
202,15SDVwHuDd3SHPF2eP1XsiGW3HmcS5hh4urHe6147tYMWyfx,0,,4.800000,4.800000,0
203,1HnC6wM6BAdHXnCUSUGx4tyLbMKbJMT4QqUJjXCyoxVdU49,0,,4.700000,4.700000,0
204,1ntUHZpJegzVH4T9LwSm6fU8o9tWXLVTz7Vha8BQb9TqsoV,0,,4.600000,4.600000,0
