rank,voter,voting_power_max_vefxs,voting_power_sum_vefxs,proposals_voted,in_top_n_sample
98,0x94003c45A74Dbe132D45d15a0993CaeBf55aeb61,400.5407916326,400.5407916326,1,1
99,0x8f43aF563410729bc027deB3E613730B086a55ab,373.9928803171,11956.7533000722,33,1
100,0x7110d3E465845fa8bAfAF6fc07afc6cB4A981d68,367.7587667756,367.7587667756,1,1
101,0x7239C9c7Ca2ed6F684182FcA881618fE4b557f9E,367.6683472396,1470.5958142522,4,0
102,0x2eb7D6C8e738d1c9a35E7a4AB43D50418a637b7f,361.1639955527,361.1639955527,1,0
103,0xD0d9E3505349BC945A414A6EC8fF8bcaDAbF20e3,337.1673967846,657.4886130137,2,0
104,0x62661B101ca48734668669a9F1Cb83c4889049F3,298.9200245192,298.9200245192,1,0
105,0xAE3E7d803596C373080a60B7f328f456869Ff91e,287.9598700079,1151.8165828666,4,0
106,0xf2Bc825FB466136d00571B496E6EB1a601679919,281.8241534000,563.6483068000,2,0
107,0x75f83414800Ac5e20CF6abc89F9Ce147B325961c,259.7703597957,1038.9204962063,4,0
108,0x211a26A3fc01b01B217b76C391902e42E3e1eE91,253.4499358510,253.4499358510,1,0
109,0x5180db0237291A6449DdA9ed33aD90a38787621c,252.4552301937,252.4552301937,1,0
110,0x5635F75308e4863DA06bB454E0afA5f74bF28B5B,245.1183755872,438.7630106566,2,0
111,0x35EFcCEe720aEC52837240Eb87347eAB80fe25f0,244.0547249572,976.0717037671,4,0
112,0x61c108BA3A1f0070B2B5CDBE9C902d4477E7618A,243.9194731259,487.8383064117,2,0
113,0x6Acf8Ca3B0B07f511375a54c978f224F24f7d3bf,231.5346423794,231.5346423794,1,0
114,0x6591C24a7f7d3B37527487a457b2f467936DFE59,203.8224992744,1834.7352999105,13,0
115,0x2cFb075E8FC0D99837653629B0A3d527f0769a1A,198.7274812650,198.7274812650,1,0
116,0x6B3D909F2aaf6Fa11D1fc1F665d7A02A0a414020,183.0316592731,183.0316592731,1,0
117,0x6d84264A7bD2Cffa4A117BA2350403b3A9866949,160.1856780432,160.1856780432,1,0
118,0xb8Ab9923E40F77e2eB407070A716C393F5aBCC8B,117.9422964983,117.9422964983,1,0
119,0x67776B1B56401d903b9706b6d9073079b2587833,113.2289777864,339.6869333592,3,0
120,0x337844866Ce1f51bE8EB9f3a4882b5cB891Edba5,103.1584404966,489.6512658390,5,0
121,0xd48f1A44e56526e96A983FF750559aa365810D5A,101.6795049281,101.6795049281,1,0
122,0x274829C52bba894d62A4931b46B76cFE0606Ac26,101.4381074891,2439.7668441772,25,0
123,0x2a57701cc3338dEd47fe44695DB146342caB2428,92.4480634450,238.4554427436,5,0
124,0xEe72CD07a36d08F5FAfFf2214857a8221a3314Be,87.8943576119,87.8943576119,1,0
125,0x465aBF4c65c27948ddA6F53E4BdA22B36cBbb5f3,77.3038421091,309.1800413816,4,0
126,0x444E911b90B073e5AceDBbb27a33CbE8D25DF21a,75.5846380565,151.1485188356,2,0
127,0x6D42Be1820945F88B2439152Fb8f4ef32CeF4d47,75.0000436030,446.5912816153,6,0
128,0x9A4245daad387cA684A04764bFE1Ebe500556625,57.9732313683,57.9732313683,1,0
129,0xeB0e6eCD0E78B0a84eCD9663a041F453C454a99D,50.4531077608,50.4531077608,1,0
130,0x29cF2074D472f019F5E8AfDc42b7e05Ee26EF963,44.3387129310,257.4857859135,6,0
131,0x3A210AF4D55A7FAf662bEc67D7228aE205590163,34.9540190196,34.9540190196,1,0
132,0x02eE9cdaFa7037aa58cBA48c757F88d5eDa73980,33.6881910132,168.4409550659,5,0
133,0xC164111D12Ded6A9DD5D6C532727bd5C10CD89Dd,31.5748849595,45.7867716248,3,0
134,0xdaC2c5D760ff866BC796DDb88dFfEc3D9A90b7e5,27.9792298971,27.9792298971,1,0
135,0xb888f9f40F6007C06681306bba976F5e25691E1b,21.4106241757,52.2344226193,3,0
136,0x8E03E67EBfbC91E8f8b9DBC124bF7C49d54c9392,19.1634203851,19.1634203851,1,0
137,0x5F08Ab3F88d240247a569b79Dd7a5EA6cCf6C3Ad,19.1597297990,114.9818862428,28,0
138,0x57D3Ca64F4745B1936E34B3296238246895AECf3,16.6186937309,155.4693828240,10,0
139,0x0E9B063789909565CEdA1Fba162474405A151E66,15.8057600882,131.6022701971,11,0
140,0x2DF44f531F9B8cD82f181f7e3F3401e392F1b19e,11.1869353253,11.1869353253,1,0
141,0x74c0A7D94CE0290803a3f47fAb1eA36f2d76d6A4,10.3880581994,41.5522327977,4,0
142,0x015122A625b45f68E6D795C0Ab99fC7107e4c3B9,8.2684846696,16.5329393735,2,0
143,0x11443ad12aEf3663A8cD767e6f9508fC799C4B18,6.6094247880,6.6094247880,1,0
144,0x500fAF5a49AE5085482d156Fe7970578114c7D0B,5.0000000000,55.0000000000,11,0
145,0xe448d9D70eFe95714e38d210E58d458dab0A77d5,4.2192543624,9.6373236133,9,0
146,0x445cc8Ed94673E7EfA66D1638e447DDc706bC446,3.5580466962,10.5089496849,7,0
147,0x53C40473DcdFd927C4201cCFE24E314a7D7C3584,3.5465212288,21.2791273727,6,0
148,0x49F9d409C580660b0F8e51835C4C6D2f4433E93C,3.0693662175,3.0693662175,1,0
149,0xf9178e809CEFaF2b219787336650A31552e52d5f,2.7995841446,2.7995841446,1,0
150,0x5Cb58BfA6916c501cD3D0839Df2318A6e288d05f,2.6443056145,2.6443056145,1,0
