rank,voter,voting_power,dominance_full_pool,in_top_n
64,0x5Ab37F9a9442e6fD86480750a0E4a02B104e51fC,894.0000000000,0.0002514692,1
65,0xAca61fB4a689242f8954C3F23F95a818857c6B2b,884.7285467112,0.0002488612,1
66,0xcCCCbA6d79954906663dA4Ebad032a472B775aFE,884.0915620282,0.0002486821,1
67,0x59b070fA414cB3e1952AC3D622FDdfAD804cc069,815.3076490000,0.0002293342,1
68,0x56CF0ff00fd6CfB23ce964C6338B228B0FA76640,790.1124736660,0.0002222471,1
69,0x24A91c580C6D864702CE750269d9f0270C21f889,760.8705746423,0.0002140218,1
70,0xB8Adfee40e1DEfBB8314d3FeC3C622Be2F624901,641.1783383096,0.0001803541,1
71,0x9BfD94b363beC6DDEa44f8cfF5d8D0509e4d1cDF,608.1890013153,0.0001710747,1
72,0x9381741a8aDa2B21CCAcC5a920A65e8C35d0fA94,607.0245305521,0.0001707472,1
73,0x76a2F877Aa817F694031CE4202f8Bf36A07AE2A2,544.7039770438,0.0001532173,1
74,0xb71979375B99Ce0752B7f5C7b092C31171C4A7a1,516.8104447696,0.0001453712,1
75,0x61F4aE313592714f0557E0B4edd1641ACB394422,450.0260396589,0.0001265858,1
76,0x49b61b0B725be7eE97361318EA6711F5ccF55eD3,447.6132915668,0.0001259071,1
77,0xb345fDCEC79E27A2f2C2C59785505e50Fa593EC0,443.8075906843,0.0001248366,1
78,0x59979a19da699e25791e65dE8D18858cb3F27D2C,418.3149667465,0.0001176659,1
79,0x872199e26da7C1d94E2d5bB0d45ce56FF9fc1b8e,412.0061938414,0.0001158913,1
80,0x258644a27b0B06366725884630910bfceD15bF70,400.0000000000,0.0001125142,1
81,0xb50eDaaEdB19aFf33ACF3Da30cE2E030A0c305F7,381.1342725439,0.0001072075,1
82,0x78E87757861185Ec5e8C0EF6BF0C69Fa7832df6C,374.0324023015,0.0001052099,1
83,0xB5487A8697C16624d4897083472306Cda2f32461,370.0417815850,0.0001040874,1
84,0x0f6f8fbc085E7fE1004d93cEdAF3A188EF0AF698,355.1382399021,0.0000998952,1
85,0x1023dfA98e53A0A9Cd22451d6c310e646167faee,353.3320000000,0.0000993871,1
86,0x616dE58c011F8736fa20c7Ae5352F7f6FB9F0669,351.3059039572,0.0000988172,1
87,0x95167f64Ff86bbC294f8411B55a5ca2168C4daD7,339.9328274104,0.0000956182,1
88,0xB26e6f706c63E3B0985D5Ef3DcA7bca43936A73F,337.5617536777,0.0000949512,1
89,0x67A16655c1c46f8822726e989751817c49f29054,328.6488333459,0.0000924441,1
90,0x7f01D9b227593E033bf8d6FC86e634d27aa85568,325.0587494409,0.0000914343,1
91,0x00e286b5256Aa6cf252D5a8a5a7B8c20Ec3bC4D5,322.8964416606,0.0000908261,1
92,0x13dB494C1756515824507B0a92b7DF616d756417,317.1260000000,0.0000892029,1
93,0x45323D50a3E1CA8Fdf24df0a323Fc9e38Fd6b01c,275.5631273140,0.0000775119,1
94,0x23B13307372E1CCCfC4F0b0e5dc937714604752c,269.6069140549,0.0000758365,1
95,0x88F7cE049AaE5aD626da4523238F3bE067D3e6B2,254.7134773358,0.0000716472,1
96,0x5869458f360D8C1CE49e35fCcb3d0A1F25E8d533,241.8914902327,0.0000680406,1
97,0xb4Ed67dB84e1612BAbeF04b339a9AC17B10dDa50,233.9943864894,0.0000658192,1
98,0x1c0AcCc24e1549125b5b3c14D999D3a496Afbdb1,200.1660206910,0.0000563038,1
99,0x834f3a4D3543Af46DcbE2e4f72520095b673D483,200.0000483976,0.0000562571,1
100,0xf039e5291859d1a0b1095A2840631E8eBc00cE14,186.0787556176,0.0000523412,1
101,0xb582027bEBDa38798A0C3050e16a665eDc7903d9,171.7985545635,0.0000483244,0
102,0xC4a69FBf4511A1377161834Cb7a3B8766953dB02,167.5631418519,0.0000471331,0
103,0x3F668B2cF2541a9A06f2B79834E2221977DD7B38,166.9094327163,0.0000469492,0
104,0x551A5f2e1237E0Aca27b8e1b46de461ec7EC9da0,163.7867879052,0.0000460708,0
105,0x72475B89cEf058311Bec44c592E06805dA24EE89,160.5995451157,0.0000451743,0
106,0x58e6c7ab55Aa9012eAccA16d1ED4c15795669E1C,156.6666088385,0.0000440680,0
107,0xe9500DcFc7F96Eb3a8207e1Ad5B4F91F5C5Ea34F,149.1052857227,0.0000419411,0
108,0x17296956b4E07Ff8931E4ff4eA06709FaB70b879,145.0000000000,0.0000407864,0
109,0x4ca790b2C94Af33009F5E7E2A419d766d77AA88A,141.2647052201,0.0000397357,0
110,0x835Cb405c520B7ee8d14f9412b9704f4B007573A,141.0000000000,0.0000396612,0
111,0x447E8577FcAd4463E83cBE51D1958D6Eb1c2c995,133.1857090005,0.0000374632,0
