rank,hotkey_ss58,name,dominance_pct,stake_raw,nominators
52,5CaCUPsSSdKWcMJbmdmJdnWVa15fJQuz5HsSGgVdZffpHAUa,,0.00034853333362556933,20438904404,10
53,5FyQwqvALREfXVLLN3LEvtBPzqGhqNtxQqoHjHFatneejmWr,,0.00029558141423320758,17333665639,2
54,5Ehv5XMriPZwNBtYHdQV7VrdbN8MBTDTmQhWprZJXxSiMapR,,0.00028724255813783787,16844653352,7
55,5FqPJMZDp39KRd9jDhXuFpZWkYD7wG5AXmjoWqK8rDy7ok5B,,0.00023891639942291427,14010681267,4
56,5DnWFhKfeu6gXMydzrv8bkwxFegAC6bMWsC4Z2XtaotAeB6S,,0.00020237347147433261,11867708590,5
57,5CXC2quDN5nUTqHMkpP5YRp2atYYicvtUghAYLj15gaUFwe5,,0.00019002960655609198,11143832132,5
58,5DD6hMnCXMvSCstpfrc8mkew8CK2nhzksKzu7L9JWFpnP3KL,,0.00018762820080917982,11003007431,6
59,5H4JF2aaxuBLxgNhgYJ3pKs9PhXdKU98NZRfho5rVtmG12ko,,0.00013471429701664798,7899998000,2
60,5E2VSsWWXkBGCn4mi8RHXYQEF2wLXky6ZsNcTKnmEqaurzTE,,0.00010261795431359201,6017784688,4
61,5GsenVhBvgEG4xiiKUjcssfznHYVm1TqPbSbr3ixBW81ZVjo,,0.00008473378296571131,4969010200,2
62,5Dz8ShM6rtPw1GBAaqxjycT9LF1TC3iDpzpUH9gKr85Nizo6,,0.00008406821862763078,4929979770,2
63,5Dyi5e2QqnWn2RN9X6r8A8Q1QBjYD536H75mxNye193oeCJ4,,0.00008236331888383965,4829999999,3
64,5E7eSeRr2aHzCV7SkY4a2Pi5NXHrU4anZz3phEQgn4HCen2B,Owner17,0.00007156723478207308,4196889448,2
65,5E2MF7htsXr4dXdoJS5yTUmfLp6LMkr13S3EdR4mUzokyH7o,,0.00006091086995577327,3571972400,2
66,5DPEpUTZn94sgYXH3sdXxsVvb46m3iEvg8aZwX7SMDowivzB,,0.00005286258562997215,3100000000,4
67,5Gpt8XWFTXmKrRF1qaxcBQLvnPLpKi6Pt2XC4vVQR7gqNKtU,,0.00004814982060555885,2823631158,3
68,5EWLgJHBVE64kJKb3GWzzh33QEPNcj6UNr4cqyr1kkDsaVrk,,0.00004480588587043034,2627534097,3
69,5Hh3ShaNW9irCe5joBLCeFD5Fxb2fJ6gFAgrsPmoz3JkzqvJ,,0.00003922062804804385,2300000000,2
70,5FBvGUf3FhJfzLnDKwHCVqtycVzuK4uLqmx1dyYd4xFpP8Th,,0.00003029545657689326,1776604649,2
71,5G3f8VDTT1ydirT3QffnV2TMrNMR2MkQfGUubQNqZcGSj82T,,0.00002793506866657343,1638185341,3
72,5Dkv87qjGGF42SNhDAep6WZp65E29c2vUPUfDBGDNevENCMs,,0.00002610523364137644,1530879039,3
73,5EpxBYq4aVgTQ1rYeBo2mzYt3hgpRTqxZTSsJEkCstBP5Jse,,0.00001902848838700570,1115880226,3
74,5CHuEaJDdFbEtpyjR4JddcANRb9JyqxD6zcT25BVgyMJ8J2r,,0.00001193671288418726,700000000,2
75,5EHuRZHPuPAvU4MJ1RwoReLCyP3nniNZqCttDM8xZxdh2kBL,,0.00000656564112838925,385026333,3
