period,hnt_burned,hnt_issued,s2r_burns_only,migration_excluded,s2r_clean,s2r_3m_rolling,spike_flag,s2r_median_5m
2023-05-31 00:00:00+00:00,37203.976377720006,2877910.7287665,0.0129,False,0.012927425442993495,,False,0.026594550556362107
2023-06-30 00:00:00+00:00,71870.07407308002,2311991.7069297,0.0311,False,0.03108578368065286,0.021016589772591413,False,0.02884016711850748
2023-07-31 00:00:00+00:00,72053.93550401,2709349.62225834,0.0266,False,0.026594550556362107,0.022929764061954995,False,0.03108578368065286
2023-08-31 00:00:00+00:00,55059.95693993001,1172848.37284255,0.0469,False,0.04694550311434126,0.03212429326337693,False,0.04694550311434126
2023-09-30 00:00:00+00:00,138659.61773966998,1170114.90582548,0.1185,False,0.1185008558128314,0.05260432506760992,False,0.04694550311434126
2023-10-31 00:00:00+00:00,91159.69196911002,1457589.42145787,0.0625,False,0.06254140612377167,0.0749573257171971,False,0.04694550311434126
2023-11-30 00:00:00+00:00,28255.12133921001,1169064.3166243602,0.0242,False,0.024169005021721875,0.0679721245228086,False,0.051814171324836615
2023-12-31 00:00:00+00:00,39470.21949226,1174176.94270707,0.0336,False,0.033615222762986,0.04180271265532543,False,0.033900477836538906
2024-01-31 00:00:00+00:00,75591.64508131999,1458899.04534835,0.0518,False,0.051814171324836615,0.037693765728842636,False,0.033615222762986
2024-02-29 00:00:00+00:00,39884.53892558999,1176518.4879666,0.0339,False,0.033900477836538906,0.04067267644218265,False,0.033615222762986
2024-03-31 00:00:00+00:00,38746.98740138998,1168652.35297317,0.0332,False,0.03315527265470669,0.04054162410743342,False,0.033900477836538906
2024-04-30 00:00:00+00:00,46282.87552218999,1456479.68079263,0.0318,False,0.03177722019232181,0.032857939238519714,False,0.03315527265470669
2024-05-31 00:00:00+00:00,43621.289081990006,1166944.56225543,0.0374,False,0.03738077239734533,0.03392630627254601,False,0.03315527265470669
2024-06-30 00:00:00+00:00,28152.09118884999,1162966.4278670298,0.0242,False,0.024207140046581654,0.03117910064058401,False,0.03177722019232181
2024-07-31 00:00:00+00:00,59588.71443433004,1447673.66048698,0.0412,False,0.041161703815406236,0.0347740969044803,False,0.03616122182471451
2024-08-31 00:00:00+00:00,7798.537059320004,1158532.3802128602,0.0067,False,0.006731393263162104,0.02534756461245892,False,0.024207140046581654
2024-09-30 00:00:00+00:00,52544.07411230998,1453050.29700071,0.0362,False,0.03616122182471451,0.029545147098026733,False,0.03616122182471451
2024-10-31 00:00:00+00:00,26187.76823404998,1176221.3200046,0.0223,False,0.022264320318515874,0.02284447122111635,False,0.022264320318515874
2024-11-30 00:00:00+00:00,159517.36916893988,1163405.9733866,0.1371,False,0.1371123862331522,0.06281820846540262,True,0.022264320318515874
2024-12-31 00:00:00+00:00,12491.574637070002,3115643.86177506,0.004,False,0.004009307607434067,0.036331230181356484,False,0.022264320318515874
2025-01-31 00:00:00+00:00,9519.84532534999,1491692.52254846,0.0064,False,0.0063819085913804485,0.031456748175358165,False,0.09910134279369393
2025-02-28 00:00:00+00:00,149134.42552896996,1504867.85874772,0.0991,False,0.09910134279369393,0.02800067515502282,True,0.009766029968629804
2025-03-31 00:00:00+00:00,200362.27616959997,1876521.8341112605,0.1068,False,0.10677321868972206,0.07367340240819277,True,0.02452801742101739
2025-04-30 00:00:00+00:00,14623.805918370002,1497415.63003024,0.0098,False,0.009766029968629804,0.07463312912049304,False,0.09910134279369393
2025-05-31 00:00:00+00:00,36801.70678974994,1500394.67756638,0.0245,False,0.02452801742101739,0.05165585388062986,False,0.07370468319181006
2025-06-30 00:00:00+00:00,708896.5833679195,1883509.26410923,0.3764,False,0.3763701070528999,0.15576158964948358,True,0.07370468319181006
2025-07-31 00:00:00+00:00,107932.08377053,1464385.69567752,0.0737,False,0.07370468319181006,0.17606835353884293,False,0.3763701070528999
2025-08-31 00:00:00+00:00,532886.12717089,613509.73193233,0.8686,False,0.8685862659301178,0.340716210371231,False,0.5873224456279488
2025-09-30 00:00:00+00:00,456180.58448052016,776712.3287665,0.5873,False,0.5873224456279488,0.38429055374475496,False,0.8685862659301178
2025-10-31 00:00:00+00:00,975288.0335729892,621369.8630132,1.5696,False,1.5695773027091124,0.9765175143473122,False,0.8773277763345593
2025-11-30 00:00:00+00:00,545145.0401986805,621369.8630132,0.8773,False,0.8773277763345593,0.9787871187934177,False,1.1026982459070667
2025-12-31 00:00:00+00:00,1205193.1228729698,776712.3287665,1.5517,False,1.551659576186903,1.3496860151622465,False,1.551659576186903
2026-01-31 00:00:00+00:00,685183.45800417,621369.8630132,1.1027,False,1.1026982459070667,1.2060309207616167,False,1.327178911046985
2026-02-28 00:00:00+00:00,777042.2810043195,377260.2739723,2.0597,False,2.059698130477881,1.502481303375793,False,1.551659576186903
