coingecko_id,protocol,date,price_usd,market_cap_usd,volume_usd
kamino,Kamino Finance,2024-04-30,0.04130055208963521,0.0,20603982.78579688
kamino,Kamino Finance,2024-05-01,0.04130055208963521,0.0,20603982.78579688
kamino,Kamino Finance,2024-05-02,0.049765857466753834,0.0,15788891.085246827
kamino,Kamino Finance,2024-05-03,0.08006196756293815,79792803.2026586,14489753.031035345
kamino,Kamino Finance,2024-05-04,0.0787798203646553,78855633.8422252,25503108.22373665
kamino,Kamino Finance,2024-05-05,0.0728917157634184,72905333.17018344,10707985.947964448
kamino,Kamino Finance,2024-05-06,0.074803533093687,74746420.01910506,4835598.72611597
kamino,Kamino Finance,2024-05-07,0.07484235225409246,74925164.48726419,9610416.59407636
kamino,Kamino Finance,2024-05-08,0.06219020970472416,62214757.82003803,5003296.923097361
kamino,Kamino Finance,2024-05-09,0.05948930411619263,267926597.11693704,10050901.597633623
kamino,Kamino Finance,2024-05-10,0.06294674609351017,283529294.64955455,4329761.586685593
kamino,Kamino Finance,2024-05-11,0.05954632174369671,268002380.2953185,3185145.35311351
kamino,Kamino Finance,2024-05-12,0.06049813544397915,272356468.4691314,967238.3538357972
kamino,Kamino Finance,2024-05-13,0.0594177144223063,267376647.8662663,1316817.5944432046
kamino,Kamino Finance,2024-05-14,0.05384593241807249,241976396.5920902,4026832.189656573
kamino,Kamino Finance,2024-05-15,0.05046636762774641,227161946.06889898,3706279.8866521833
kamino,Kamino Finance,2024-05-16,0.0547409019332569,246735207.96411636,3125079.2982739117
kamino,Kamino Finance,2024-05-17,0.05400529759170438,243155022.83218774,2011027.9966460366
kamino,Kamino Finance,2024-05-18,0.05536210474229554,65430667.742317244,1527545.3449804983
kamino,Kamino Finance,2024-05-19,0.05556617215781243,65884062.19299408,1680478.6553142848
kamino,Kamino Finance,2024-05-20,0.05522696995311325,65288491.555595376,1064912.913532083
kamino,Kamino Finance,2024-05-21,0.060280048845676414,72127752.43089092,2776782.2364932126
kamino,Kamino Finance,2024-05-22,0.060673193504881824,72592073.18199888,3310703.4575137985
kamino,Kamino Finance,2024-05-23,0.06446502753843485,77091622.04942477,2709578.8668340184
kamino,Kamino Finance,2024-05-24,0.061951257361775966,74340236.50243506,2988964.407046379
kamino,Kamino Finance,2024-05-25,0.05937006328588707,71059794.6908293,2101018.0957178916
kamino,Kamino Finance,2024-05-26,0.05971296290296749,59712326.2186714,989205.0223326593
kamino,Kamino Finance,2024-05-27,0.05622829031106609,56345126.32769674,1441253.4199512934
kamino,Kamino Finance,2024-05-28,0.05925016831584213,59250462.57673074,1315771.0425934645
kamino,Kamino Finance,2024-05-29,0.05833401921701366,58320798.90393788,910500.1988845713
kamino,Kamino Finance,2024-05-30,0.05537092705025382,55246219.33958941,1630541.442574137
kamino,Kamino Finance,2024-05-31,0.05596001688004904,55969230.88663858,1911245.0125276777
kamino,Kamino Finance,2024-06-01,0.05506969609648609,55048899.72367173,780953.6555067747
kamino,Kamino Finance,2024-06-02,0.05534948924736944,55346480.94930617,534949.99080798
kamino,Kamino Finance,2024-06-03,0.05363876509741404,53652547.48587595,585400.1438929286
kamino,Kamino Finance,2024-06-04,0.054126471279426144,54116569.1936703,912263.688727061
kamino,Kamino Finance,2024-06-05,0.052387794255344476,52379199.67284952,1721445.3107574037
kamino,Kamino Finance,2024-06-06,0.04956608815255597,49643781.38466553,1565908.216976334
kamino,Kamino Finance,2024-06-07,0.044779064204695955,44807200.9512417,1640164.0143187875
kamino,Kamino Finance,2024-06-08,0.04125040675685202,41251830.83194051,4160338.6836947836
kamino,Kamino Finance,2024-06-09,0.040862013646295034,40861269.27758189,548260.6690126255
kamino,Kamino Finance,2024-06-10,0.04179341516873104,41793386.59093725,1018424.2988559215
kamino,Kamino Finance,2024-06-11,0.041185827547154934,41184381.53362861,602056.6207946164
kamino,Kamino Finance,2024-06-12,0.03906040304655809,39060088.45822327,838739.7393002133
kamino,Kamino Finance,2024-06-13,0.041422484344988665,41417755.12377153,689005.0129837315
kamino,Kamino Finance,2024-06-14,0.03874759464839067,38766127.98502999,799283.800569598
kamino,Kamino Finance,2024-06-15,0.03739758070966359,37405375.73143787,777123.7051231106
kamino,Kamino Finance,2024-06-16,0.040480991509418494,40484221.77385639,3957313.3201550166
kamino,Kamino Finance,2024-06-17,0.03924028979700807,39235976.85526797,559076.941932015
kamino,Kamino Finance,2024-06-18,0.03627122325751107,36262172.77521553,1017731.8917623861
kamino,Kamino Finance,2024-06-19,0.033185692405947986,33093965.91255233,1550135.779960203
kamino,Kamino Finance,2024-06-20,0.03193455449248324,31931376.16302553,1152174.060037127
kamino,Kamino Finance,2024-06-21,0.03227691317941049,32278027.76787617,2917432.2788519296
kamino,Kamino Finance,2024-06-22,0.03068565948883586,30681226.34601274,531102.7239727448
kamino,Kamino Finance,2024-06-23,0.030731768402486828,30725630.47046513,131413.30743121647
kamino,Kamino Finance,2024-06-24,0.029704708202727987,29712769.95357432,267543.08831731795
kamino,Kamino Finance,2024-06-25,0.029578147052821066,29576451.45897238,614269.9589410406
kamino,Kamino Finance,2024-06-26,0.030399544382746547,30393727.7363678,551859.7351196368
kamino,Kamino Finance,2024-06-27,0.03062385536537601,30623127.16146931,458535.139260488
kamino,Kamino Finance,2024-06-28,0.03258169508519342,32577065.42825292,929781.4459594467
kamino,Kamino Finance,2024-06-29,0.03212484788770963,32127581.19388048,622566.8279375024
kamino,Kamino Finance,2024-06-30,0.03237146032552626,32367617.28056026,250503.48684168328
