coingecko_id,protocol,date,price_usd,market_cap_usd,volume_usd
bonk,Bonk,2024-01-13,1.3772786792554881e-05,835750987.46339,223908891.74943322
bonk,Bonk,2024-01-14,1.5392736285992907e-05,937255998.3907353,216595724.79453933
bonk,Bonk,2024-01-15,1.4321405644569117e-05,870536282.3433017,165607928.1904442
bonk,Bonk,2024-01-16,1.372499964432746e-05,836073727.1059004,126696342.95520616
bonk,Bonk,2024-01-17,1.407385087620652e-05,856389662.0617893,107918015.81317154
bonk,Bonk,2024-01-18,1.3379481000019964e-05,813332895.0899974,98613237.07181728
bonk,Bonk,2024-01-19,1.2051664623913024e-05,733658361.1007717,95125324.45416428
bonk,Bonk,2024-01-20,1.1952763698276886e-05,726099094.4724617,68195089.97161908
bonk,Bonk,2024-01-21,1.1662943104853894e-05,710722205.053277,43219512.59389125
bonk,Bonk,2024-01-22,1.139338177865985e-05,695151206.8045772,37062809.55284564
bonk,Bonk,2024-01-23,1.0387071212216825e-05,631869623.5689436,65781527.06509946
bonk,Bonk,2024-01-24,1.0805154598421273e-05,653834111.3219924,77373242.32961203
bonk,Bonk,2024-01-25,1.1080650395972968e-05,671993226.5078202,76069664.61476882
bonk,Bonk,2024-01-26,1.126597955659288e-05,685016639.3787688,68946980.3482629
bonk,Bonk,2024-01-27,1.1834557557249682e-05,720699200.113145,92521677.96077499
bonk,Bonk,2024-01-28,1.1663629715630198e-05,710568824.6383369,45472338.94512364
bonk,Bonk,2024-01-29,1.1608455017390602e-05,704035798.2144979,84761761.70550187
bonk,Bonk,2024-01-30,1.2006331989425085e-05,730993855.4097387,64198124.919555426
bonk,Bonk,2024-01-31,1.1273289203649657e-05,684550318.6612686,61326687.285985865
bonk,Bonk,2024-02-01,1.065231588338366e-05,651332541.4367063,67748216.98940232
bonk,Bonk,2024-02-02,1.0722488566258613e-05,652453056.132519,44355396.58129796
bonk,Bonk,2024-02-03,1.0535787462320897e-05,641384577.788242,38669699.10619642
bonk,Bonk,2024-02-04,1.0353171415565807e-05,629503161.1315831,23161509.69450231
bonk,Bonk,2024-02-05,1.007776329787613e-05,612381832.5504866,29856359.27657065
bonk,Bonk,2024-02-06,1.0145877032494385e-05,616176581.0773637,49070213.695041485
bonk,Bonk,2024-02-07,9.94662969983587e-06,605305814.8647703,35105373.44839555
bonk,Bonk,2024-02-08,1.0390874585881381e-05,632580983.530187,42258475.02954392
bonk,Bonk,2024-02-09,1.0385968076910879e-05,633097542.6716319,41158318.47795445
bonk,Bonk,2024-02-10,1.2197134850646185e-05,741715121.4263232,188938506.20410147
bonk,Bonk,2024-02-11,1.3321984408998393e-05,810928377.8711826,179363094.33890197
bonk,Bonk,2024-02-12,1.2313472638386117e-05,748945695.1559156,118303161.8070752
bonk,Bonk,2024-02-13,1.3240672767748241e-05,805339700.7740809,117383518.87667578
bonk,Bonk,2024-02-14,1.2560859159257842e-05,763306322.7064787,80535807.56350207
bonk,Bonk,2024-02-15,1.4203266939482814e-05,865463890.6475135,128727262.07238859
bonk,Bonk,2024-02-16,1.3905814088124413e-05,846518990.0151514,122885159.548861
bonk,Bonk,2024-02-17,1.3298571357828553e-05,810904160.9203261,70211852.59945518
bonk,Bonk,2024-02-18,1.2828210269406592e-05,781142667.6282048,53277129.53593839
bonk,Bonk,2024-02-19,1.3051369149732849e-05,793496752.1772529,48337663.023028016
bonk,Bonk,2024-02-20,1.2985359395195567e-05,790194247.6286947,62421508.86028142
bonk,Bonk,2024-02-21,1.2377224181172544e-05,756080668.8145118,75158589.6511897
bonk,Bonk,2024-02-22,1.1789615682260952e-05,718156473.9219441,64245077.01479602
bonk,Bonk,2024-02-23,1.1701195938388917e-05,762145403.358482,56982862.481175795
bonk,Bonk,2024-02-24,1.1334412557480493e-05,738695961.9179809,53121545.18002827
bonk,Bonk,2024-02-25,1.1703990531319542e-05,762795959.6963468,43782459.23809801
bonk,Bonk,2024-02-26,1.1961153320984734e-05,779251296.8303908,48736983.62034314
bonk,Bonk,2024-02-27,1.3418009196600564e-05,874777418.915551,127704218.48034784
bonk,Bonk,2024-02-28,1.4875967170397865e-05,971620280.762328,322432763.8182051
bonk,Bonk,2024-02-29,1.807087470769852e-05,1171938773.4317734,495947543.8457104
bonk,Bonk,2024-03-01,2.2310885014954555e-05,1460604082.9422581,934946331.8332174
bonk,Bonk,2024-03-02,2.513933439714802e-05,1643781751.8721523,610881427.6106905
bonk,Bonk,2024-03-03,2.4381543089399518e-05,1590407523.063266,600056964.3047521
bonk,Bonk,2024-03-04,2.653448246341331e-05,1727477855.5336397,584811320.8222743
bonk,Bonk,2024-03-05,3.784468688224842e-05,2471491840.989984,1897500021.2011702
bonk,Bonk,2024-03-06,3.1258927215238736e-05,2054073020.4915671,1333570998.7057598
bonk,Bonk,2024-03-07,3.0097636091060616e-05,1970071676.502051,621312565.7287225
bonk,Bonk,2024-03-08,2.7104982263807927e-05,1784970443.2235284,468766363.814558
bonk,Bonk,2024-03-09,3.205705373544353e-05,2097855233.2651415,904381075.6300201
