coingecko_id,protocol,date,price_usd,market_cap_usd,volume_usd
jito-governance-token,Jito,2024-06-04,3.488008772358189,426776739.958559,59226613.61173171
jito-governance-token,Jito,2024-06-05,3.6857904130735832,450531713.20046556,81176701.56404978
jito-governance-token,Jito,2024-06-06,3.7083899009685046,454721172.88218504,90192195.77600174
jito-governance-token,Jito,2024-06-07,3.5906064237570137,439836353.69309765,53279725.442310065
jito-governance-token,Jito,2024-06-08,3.3242568691056773,407180320.045695,129234076.26340725
jito-governance-token,Jito,2024-06-09,3.159992062741406,386849136.60091805,56404179.781956494
jito-governance-token,Jito,2024-06-10,3.3139696889930526,406116486.35832995,49140812.18313778
jito-governance-token,Jito,2024-06-11,3.16468568300518,387691028.737846,48367672.974841535
jito-governance-token,Jito,2024-06-12,2.882800622435498,352822334.71714246,80502088.68531317
jito-governance-token,Jito,2024-06-13,3.1662650411153974,388491097.32234234,87800418.61893179
jito-governance-token,Jito,2024-06-14,2.9712523759859675,364808900.5264048,70498105.99331497
jito-governance-token,Jito,2024-06-15,2.806817830189725,343950910.9393014,75147336.92404327
jito-governance-token,Jito,2024-06-16,2.8443937774038055,348404184.8298162,46617820.02672244
jito-governance-token,Jito,2024-06-17,2.90535766520835,356761032.1886288,36371335.10201754
jito-governance-token,Jito,2024-06-18,2.6694998084666017,327380733.63614905,52716010.68706282
jito-governance-token,Jito,2024-06-19,2.3880284288859976,292985877.73750716,94471730.87944636
jito-governance-token,Jito,2024-06-20,2.3754544594753777,291605887.57043886,54094848.2204487
jito-governance-token,Jito,2024-06-21,2.3514299558339586,289132874.6645135,53168829.79781445
jito-governance-token,Jito,2024-06-22,2.5552327664472902,312959097.20883316,90190492.25871968
jito-governance-token,Jito,2024-06-23,2.3990101375000137,295164598.72778344,47576265.59916148
jito-governance-token,Jito,2024-06-24,2.3120687162679254,283666470.8066087,31176071.889568523
jito-governance-token,Jito,2024-06-25,2.3426279257674083,288154869.82285947,71234626.90571912
jito-governance-token,Jito,2024-06-26,2.4505514543429014,301189729.40334505,49006796.63168796
jito-governance-token,Jito,2024-06-27,2.357544306704428,289907395.09258616,35050851.89720884
jito-governance-token,Jito,2024-06-28,2.5075780793548597,308318998.90066147,106021939.88660437
jito-governance-token,Jito,2024-06-29,2.303205534084753,283937150.35574406,76120310.08135855
jito-governance-token,Jito,2024-06-30,2.2754314732951073,280145192.38045055,25999767.89299624
jito-governance-token,Jito,2024-07-01,2.419669947910148,297690790.85183257,37633452.19062078
