rank,address,balance,reserved,lock,display
754,13FehcouDZSsSvuWkGYEKegS8sebvNfweCvCJdLoKL43uW8D,175944.7442090333,175552.2911080066,175552.2911080066,
755,15y261WNg6LDm7kjdzxo4pDAKZidd6i4hXLTP9DW56kfsJZX,175920.4780587371,175919.3977245422,175919.3977245422,
756,1Zc3KYxJT8s9krniZBDmvaw7eFK532StJp7xZorgZqV6owp,175811.2216609441,175360.5782738653,175360.5782738653,
757,1Xx3yXtN1Q9TPKhe5HyJxifKLnhZ8xFNVhSd39GadPh4nLQ,175492.5,175491.49,175491.457,
758,13MSZpWBGTM7aWramN2rhz2fSacxvMwwyMApp5vQ38GronAt,175200.3858989985,175000.0,175000.0,
759,12hGL9HmbMZ9i6Csnvw4zwcyTMrnbY4ULMN3VMcM67gsymcf,175195.36671964,175190.2823619702,175190.2823619702,
760,14Pu1XbrGuh4347sHFP2ifkraUDBZHQCUQPuZh9va7BemLVr,175130.1503814248,0.0,0.0,
761,15po5Az4ad6sQfB9eYHJkCRBSCbUkBmWLWJC2CbhMkd8yj5T,175073.0106717038,0.0,0.0,
762,1afbYvgSZYSdtNXE2xc2Qdx28Wsepy4qhbqemJD9LSh5XXK,174970.9875470234,174966.5364488288,174946.4954488288,
763,14mG9BhtL95bGKgnvdJtvwoUSSans3XxLnsp7tmweYKTRFaG,174354.6668931655,142999.4,0.0,
764,13Cxq1uKLvCwSAg5ZbLHSxXGamjpoZwCEikLdVRUdd8pisqo,174042.37,0.0,0.0,
765,14uVVyPKhCSkYoa4PWr1qqPJbaLpYs67qHfteHNXbZfB6aHS,173694.5369104734,173692.4893381371,173692.4893381371,
766,1368bVvFmWTQXA2kVkvaoXW7zygpK7jyw7mf79LNMoAK1jhr,173075.0300725468,173064.7593493177,173044.7183493177,
767,12brnSMS2yJTzrmVkS7V2xL9yJWbm4ca26ah53Ez8TfE9GyA,172382.9930784216,172374.9147831042,172374.9147831042,
768,16AoT18d9dTztTmwmmzX65t1RWhteB2PbCCnzraWxQx25M5e,172304.977909635,17067.184124985,0.0,
769,12Q9PQniwZXErHDhydQ3PHjsbWRt6hpZunAaiAS4fJRdDbSR,172247.9473318729,0.0,0.0,
770,14mtWxmkUHsWqJLxMiRR8qrHTHyck712E5yjWpnxPBEh8Acb,171085.1518386708,168630.0,168630.0,
771,1598AR2pgoJCWHn3UA2FTemJ74hBWgp7GLyNB4oSkt6vqMno,170659.0774022984,0.0,0.0,
772,1rJpvZPQFjU7Q8HH2r3cuTGcjYbtH1BKHrfmVSGdNCUFJVJ,170256.0672856619,0.0,0.0,
773,14TFnGVQA1GwcbDBGnJByikmnV2Vy5mE6PsQcx5ixs9vp9Jz,170002.8342569,0.0,0.0,
774,12bLh8kasCVpYW9FxZWy12rrSJWfmnyP5TdJ6B4KCAwPTDr1,169002.4991041626,169000.5,169000.5,
775,14Pr5ivQdawzdbSytPESC1xViPvCbP8wuz1st4HMkxCAX3r6,168622.2185180839,168602.7394812824,168602.7394812824,
776,14mAwnaHxiJxtN34QNVzRVtT3PEreBP8Lkb2e6UGkWc6WM4j,168592.8193391254,156758.12038109,156758.12038109,
777,134a6Qj1XnkoVNy6qr9rHCT5RhKAxbFnFWiGL6NHRacdNpzj,168486.103846559,0.0,0.0,
778,155nZHhJLViNcRuPCogfVFfSBbUMaqkyRbKreSAtqxPTqka1,168401.6091988597,168399.7304462909,168399.7304462909,
779,16HC646MxjeX7GY4ExVZpnbwrdK1gPRKbU5NKsdRNTJZFMPn,168282.9796358808,168144.7118490747,168124.6708490747,
780,12AGVyQiajrnFpebqERf5psyBdzKB52iFtSHhs3oUihaaomu,167885.5498588288,0.0,0.0,
781,15SLwwFswRu4E7N84jW6A4b94DwpMLutQAEkDdNDW9BjFyoD,167110.0296711012,0.0,0.0,
782,1th5fY6VrJtaBQx9XTAGVHAiUJLJMhTVPPUFA93hAWWn2c2,166591.4625527043,0.0,0.0,
783,158GbUqfXchF48DQv26zBjrKUuaMwrTtdbiKjf9QGzFYB3vj,165773.1751677859,0.0,0.0,
784,14BV7tq8EXCSY6chmcUKLjtb1pM6Bj8NQ7vnwXMmnAfdrx4v,165200.0086396619,165198.69163,165198.69163,
785,1merdJoyHm3a8wopjEXYgwFtPrMNHDv3vhBTZzSzQgGhLbB,165195.0984116165,165173.702,165173.702,
786,14t1AcU5Pxnq9P7t94UAPRvP65HKNsqbRppMcF2e8LyFs7ae,165001.3942919571,0.0,0.0,
787,1sJc6jqNYmLUcBLuUCK2JA48Qkk96xNS3znjZW6svgUcZrX,164992.7736819547,164990.2173499388,164990.2173499388,
788,16JxAwqv7Yi7C4XwDzR4VnQGBfud49VsGkD56yhoriZdRC1E,164812.5643382054,164810.0,164810.0,
789,16DPjY93e92jPsj2LHRPpdtouZC1CyRu9G88kMieZmUVBcaP,164009.6021031727,164000.0,164000.0,
790,13LQn479pcqGAtUsgY5ppVf219WG9vU8o2BfPenaorAPLJYN,162987.3364968102,0.0,0.0,
791,14Qdqz1N7MpD1bVKrMpyX4M5ZtD8VrsoKCJrAPJMZosy4jNd,162523.2195082295,0.0,0.0,
792,15DiVa5cMJS2UTFmMFdFvfNw9HScDEmKFKsPeri3sEKS5Rh9,161777.9396612426,161771.9419612497,161771.9419612497,
793,13hyiPejDUxy4qMre6koXhhW7jHvox16L3ywHP7tqMXqxpxo,161669.6390117934,150000.0,150000.0,
794,16CwASAoBeZqDVtAiux4QsPRigBBgnUFbohY2aub3N62DYwA,161429.2458870397,123502.3162935676,123502.3162935676,
795,1TRyVcQFBkVi4c5wPZWh4EAk4688vzgGtwuJSNpuqiVRH9U,160841.7259311135,160839.2898830038,160809.2488830038,
