address,balance
0x533a2c5d9bb7711905fca2b9f0504917b6f9f9fb,23965.859712399997
0xf87a0fd0c68b75267ffc4e87a3db15857a74ad2c,23399.816945699997
0x125ba4f5230f3a671903495d09b63509f10e4ec8,21759.476000000002
0x40561961d261e61f1946bc0ae881b993ed00d98c,20930.745189
0xffa8db7b38579e6a2d14f9b347a9ace4d044cd54,20524.368781792968
0x89bad15261427de3dcd8e35d80a93d398d5cf08d,20304.86910504004
0xec14fd68b4923dd3834bdfa104a73da8cff6d33f,19863.040864167575
0x4924e98371a036a983885a9d7ae494a7530b2a03,19669.42250738827
0x56264e5ec5215c3974cfb550d3aefa6720f5ee9d,19392.438382092703
0xab782bc7d4a2b306825de5a7730034f8f63ee1bc,18751.07542742163
0xf102a7e9edae5c3796045a1a4cc3fed62614cdea,18307.053981494308
0xf5e0e56bdeaa89be9ba6166fac3c62cce793754e,18000.268779101752
0xe00ff491d156a67fea3754591d552a5ce9abc497,18000.00596504093
0xe9313e587dafc42ecb475b4e2df1e235258e8375,17831.539123875926
0x33ef2cbec8edb585c4a69472f43d6c09b6047908,17627.612
0xa47445f9170c17b64dee893463563fd3ee2b7fa9,17379.27298551661
0xf0163143ed4f65cedc3ff7db3a0b30a610088518,17370.45755084362
0xf2c7b91d8ebd69f40fd067dbfd195b3e3df59166,17222.541664000004
0x63a4ad315684e9ed54938b0eb53d6ff28c316dca,17125.227355202434
0x6bb1a232393d72dca400196fd59e6048472fcc03,17111.41224999381
0x504ce9e51e508c85a161058c12e970a903d482fc,16342.7743478
0x8faefc91efc4d34e89c2ac9ce53114423273b319,15746.030115322332
0x12ff56d2bb741398e170900965492c5cb34d9832,15576.781265570075
0xf9810b81242e06b820054a0a55bb0c1004b60df7,15555.209991574618
0xc50027d06f97fef207b7abc8590abb3ee9c8a6e1,15354.308027171388
0x939597fd78d74617928e192fd7a6b76da5339e78,15253.894637020827
0x841ed663f2636863d40be4ee76243377dff13a34,14378.43406042086
0xd9872f29851f29cc6f172ed7c09adb2c94ffe9f8,13966.4804469274
0x08f0799e98634535b098106ad0de254c3e47f350,13877.325643530665
