address,balance,rank,share,token
0xf3fc178157fb3c87548baa86f9d24ba38e649b58,2656858656.1763263,1,0.301713424290465,ARB
0xf7f468b184a48f6ca37eeffe12733ee1c16b6e26,462556783.992131,2,0.052528045066537674,ARB
0xcad7828a19b363a2b44717afb1786b5196974d8e,207991555.0208652,3,0.023619564459314294,ARB
0x15533b77981cda0f85c4f9a485237df4285d6844,197908291.05189657,4,0.02247450689555194,ARB
0x140e4d8d4229d5437efd6fc1beeb86cb2bcf9d98,142496553.91015506,5,0.016181938444440318,ARB
0x07455344be8db742627ae4514c1071e43a154ddb,117025933.79466477,6,0.013289489500654216,ARB
0x1190cea3e2c8727218768bfb990c3228aa06dfa9,112906773.01572338,7,0.01282171674167501,ARB
0xee5b5b923ffce93a870b3104b7ca09c3db80047a,88000006.0,8,0.009993299073746204,ARB
0xae8cbcef7de8664c3ff5bfc58536c183ffa60b51,86183335.33333,9,0.009786997573147042,ARB
0x76ec5a0d3632b2133d9f1980903305b62678fbd3,83604112.03734064,10,0.009494100436585539,ARB
0xd6c8a4e72584f24bd5517afed6c01d21477c17f6,72091699.94859654,11,0.008186748513643271,ARB
0x361ad597f6a0cf86f8ab14234ca17a5739a67458,71369074.18799356,12,0.008104686981237253,ARB
0x43684d03d81d3a4c70da68febdd61029d426f042,68942427.5562045,13,0.007829116482551525,ARB
0xf5acf47847963bd0ae2b8e080729bf508b2482df,68292134.99279955,14,0.007755269123137269,ARB
0x3964128e13e05d4a672b4b45a1a96a2d56c27efb,67894913.8404879,15,0.007710160606059799,ARB
0x73af3bcf944a6559933396c1577b257e2054d935,65603898.57702699,16,0.007449992433908968,ARB
0xb38e8c17e38363af6ebdcb3dae12e0243582891d,62946630.82756233,17,0.007148232552899177,ARB
0xef297424bbc64b21fb405532b58fe77299f1e1f4,62788803.5155319,18,0.007130309650358402,ARB
0xa0acdf9fa38b293f0bbdd01ca6bf3e7ed8291dd4,60000009.0,19,0.006813613562304347,ARB
0x6533afac2e7bccb20dca161449a13a32d391fb00,52151693.470569015,20,0.005922357210449886,ARB
0xf8191d98ae98d2f7abdfb63a9b0b812b93c873aa,49755108.450926304,21,0.005650200514722507,ARB
0xc602df8a1be5b02f8a2d1e625069d5cdedfbb31f,41720368.72770999,22,0.004737773792458313,ARB
0x841ed663f2636863d40be4ee76243377dff13a34,40907535.96215007,23,0.004645468333715725,ARB
0xf897337778c99ec1e9e08444f075844f9c582f59,39588653.44969383,24,0.00449569575994898,ARB
0x46658a4395fa8847b97aa0db19a65e1f36bfb23f,36590567.094174,25,0.004155232446802984,ARB
0xffa8db7b38579e6a2d14f9b347a9ace4d044cd54,34032020.75799386,26,0.003864683390118992,ARB
0x142cfe56a727c027d4e694441efd558137afece3,31874159.249000594,27,0.0036196361861552217,ARB
0xe2d884a497082795e61883506c92fbbdf7a89fba,29368288.799999997,28,0.003335069014228828,ARB
0x741a02fc364fd8b32f496e51f0b80a384573f07d,29304001.520000007,29,0.0033277685372757066,ARB
0xc3681709ee476308b45812eabe0eb22f3b816880,27362557.36344413,30,0.0031072977330869,ARB
0xd8463997460754c384fe20649ff188fab56f141c,27360000.0,31,0.0031070073183596843,ARB
0x27ca3dbfc5c00f09c644d8530537c8c8dda9e1bc,27037027.0,32,0.0030703304369769143,ARB
0x5a52e96bacdabb82fd05763e25335261b270efcb,25411506.358066797,33,0.002885735973138055,ARB
0x2e383d51d72507e8c8e803f1a7d6651cbe65b151,25404160.14,34,0.0028849017350789977,ARB
0x88a1493366d48225fc3cefbdae9ebb23e323ade3,25000009.0,35,0.0028390062471512416,ARB
0x38429f9e67559cda82eed04a5895c5c11e779e05,25000000.527013347,36,0.0028390052849571064,ARB
0x8ba131b2a1533a7f24fbb58bf1bbde6321c40a72,24471730.75276295,37,0.0027790148589825377,ARB
0xd2dd7b597fd2435b6db61ddf48544fd931e6869f,24299628.61447096,38,0.002759470904187999,ARB
0x115ae3793b6fbb1e018b8aefda70554f74e98e19,23887514.28,39,0.002712671114231779,ARB
0x059fcb3cf061215fb6948ed413cf33adba6240c3,23827750.0,40,0.0027058842701039826,ARB
0x835678a611b28684005a5e2233695fb6cbbb0007,23716288.004297897,41,0.002693226622576007,ARB
0x607d32a71744f28447dd27688f6d5097614f4794,23360179.449999996,42,0.0026527868607216917,ARB
0xe54768811ebcb187f89220e133e9ede42b0b805c,23044852.741740875,43,0.002616978293827125,ARB
0x9c68b0b6f71367759b45f804070ddeba7e81d0aa,22844147.2,44,0.0025941861305586946,ARB
0x745a2ccf0c7b9223b5361895c62718abf5254f47,22507571.17,45,0.0025559644862460326,ARB
0xa8b2b639f2a249677dcd3b4747ebf21fff7564d8,22100002.006104887,46,0.002509680846810365,ARB
0x3fb9781946583f4ba1cd7fa3cd2c67ab5b40fd22,21795885.6,47,0.002475145324171435,ARB
0xba3027f523a6b901de6b12ff0d3506471093862e,21631700.822006144,48,0.0024565004664671157,ARB
0xb86f1061e0d79e8319339d5fdbb187d4e7ad3300,21562322.203642845,49,0.002448621816065345,ARB
0xc882b111a75c0c657fc507c04fbfcd2cc984f071,20954611.118884623,50,0.002379610018265926,ARB
0x6acc02271d83b40c2d77be3633948e09b4226aa8,20785148.28,51,0.0023603657828637136,ARB
0x7da0b9211020d3775b18116fe751c555b9a7058c,20663526.56269665,52,0.0023465543952272743,ARB
0x9d271a4e9523d74572b618ec10419a0a330e1bf0,20655417.68235147,53,0.002345633549080484,ARB
0xa5f7b4c74cb811628f6a4db0cbf1b0926d49dc3e,19666896.32,54,0.0022333768565665625,ARB
0xeff8ff2c380c709c8a8217b0235d5516c17aca8a,19606025.14343697,55,0.0022264643130337223,ARB
0x38c0be6332d3d112ea46e1145b5ca8038c1fe6a8,19571737.253932778,56,0.0022225705731353075,ARB
0x253d49374a5b1e2040dcfe725e748ef98ec57120,19491180.0,57,0.002213422474541883,ARB
0x2677c4c8757da1857cc7cc4071e0e0dd32ccb975,19422025.35015424,58,0.0022055692580517736,ARB
0xecb8b6255e9f60b9e8f1e969edc2bb7bdc2fa50b,19378407.190154925,59,0.0022006159706858654,ARB
0x436f6186cd323abd8433bf1311389e561356b3b5,19179305.39282702,60,0.0021780059289681617,ARB
0x8bc70e81652e2ea8fe06a043d97020f23fc90da1,19166295.640000008,61,0.002176528538718031,ARB
0x5f0c11f66b10ab70fadfed3c499a19e3bce4c534,19133765.18,62,0.0021728343728814217,ARB
0xb11355dc5ecf2977aeed9180aa7b6ffff82c51da,19110010.72,63,0.0021701368114390358,ARB
0x08cc5726b84863ab502541e39e3255bab0413441,19067362.120810747,64,0.0021652936276013606,ARB
0x5d4aaaae55999c4ed34e1428fcff6ae6aaf762a1,18688152.8,65,0.0021222305378736854,ARB
