address,balance
0x242d2ce2dcacc6961fd2b79e4013f9b9734dd0c1,456195.5145718435
0x4f8548e34f4737a47318f468f9bfe8edf9e5b2b2,456195.51457184344
0x3a3fe476df11c222e7d0201ef67d0d0071d0f03b,456195.51457184344
0xf1231951df308eb51918a33b626c0f20c242e766,453607.7107104362
0xeefd1650ae75801a9ed4be8c990b949cc905b63a,442768.0
0x7b521d0d16b0b68dc49f09f5900eeeb9011c68fc,377026.7300000191
0x111cff45948819988857bbf1966a0399e0d1141e,327983.0
GK35nWN6ZHSGZrRTf8kTQd8RkFCighChPEb41XwSFVAC,315264.4432366
0x4b3f6de05c0d85dc20555bf07070e06b9083c596,285396.1438159105
0xe30a956e5a615d3eab55655f9d42dbe4e1033eb5,280002.0
0x9359ecf077186d4543bd53bc3528da4a80938c79,274458.40701573
0xb93b19592a9548d7b17aae0bd72808b6c22d75ba,271467.63913
0xd0542211c29aed4da42b58d63ed5950aa46cfe4e,263152.82351705164
5vVXovupYMuYAg8g112Xtm2tSA3JxyEzM1CAM4yQxFDp,248189.86171011
0xb8ba36e591facee901ffd3d5d82df491551ad7ef,237061.01843159972
0x6cf0569bf06069e27fca1ff3d6cb398116f0a097,230000.0
0x972915c689e937efefc2dc401a63a4c557dd9bb4,225676.18689348424
0x7a437e736dd169b706f4c8b9dfebeb02fbc633ca,221891.30455
7ANWqbfHRqRr4Y7KgZguXJXoPk3HFoWLqq6ET8e9HRmb,211356.63391459
FZ8MJvdTPbp8juhtFCCzb7LsKunhexgzShGQ59SUJkNL,210488.74614895
0xd1e9d1eccfc4b9598faecc9cc9737ae56988fbc7,189999.99999999997
2UL8hbNaoErAYNePqgQYPP9yDCDRZGWbzKW4krLqkhNL,185410.57480673
83azEhjrEocBwp362p6qKiJmSC5iJHh19sg9t7Wx41oD,176153.95848373
0x1cd48cc2a8a0c6c2b18de1cb2937969c69ccffba,174900.0
8PFD2CYF275p8YdRmhk4C1wcNoKeRVrouYdMbZV6HwHH,173196.38695407
F2S9rE2vj7WazzTmeebwnzSLA7oLNqf9qNCrBjACKjFj,169056.1523
