token,address,balance
LDO,0xf351070664e8d7de5d46e8a70a949a52e6b13cce,1666668.0
LDO,0x5f67d290c3e21a6493afb6a66e03cb1ca9fb3880,1666668.0
LDO,0x5705b6b8aabdf46205a60f70aca1aa528ee91fdb,1666666.7
LDO,0x6634f40c4ccf31d9f10d8dbb319966569e709079,1666666.63
LDO,0xf7516fdb6582f24506fd6adefe99d766aff6778f,1666627.67
LDO,0x705da9e520a0a4242406cf5ef34e89e6055ebc96,1604686.5684592798
LDO,0x8dac80ce96f69f9762bc450faa4d7fbd5891ae18,1511060.1378183297
LDO,0xf99a810927483ca0d81c6fd5c779ba144ec172b3,1510086.5723007175
LDO,0x7077c866cdf58d4a65cc02dfe8e3ab03e9b23a0d,1503246.00207563
LDO,0x21a31ee1afc51d94c2efccaa2092ad1028285549,1471903.999999767
LDO,0x77fb357f55bef5a70d30663955f8c9f35794df0e,1430419.5171991917
LDO,0xa0472e0eb77944449366e9c9ec5e2c43c61b80eb,1409035.3537644814
LDO,0x40ec5b33f54e0e8a33a975908c5ba1c14e5bbbdf,1405079.187663825
LDO,0xabb05596c0b52f1cafcb18294b02ed1ae6acd5e0,1391493.13114266
LDO,0x065bbfe00ef0ec0150f8ecfc9d4655d494e19584,1333959.22144973
LDO,0x0529ea5885702715e83923c59746ae8734c553b7,1297047.8813988457
LDO,0x0b07f64abc342b68aec57c0936e4b6fd4452967e,1290129.3834555978
LDO,0x841ed663f2636863d40be4ee76243377dff13a34,1248475.2208294729
LDO,0x57a13950027a52ec31d48ad7a01675c04941e8f1,1246686.9434944955
LDO,0xcffad3200574698b78f32232aa9d63eabd290703,1223365.2184916683
LDO,0x77134cbc06cb00b66f4c7e623d5fdbf6777635ec,1219656.0885836426
LDO,0x6e2f715283a94e9139110393758d80020c1a645d,1216624.04944875
LDO,0x0d0707963952f2fba59dd06f2b425ace40b492fe,1204525.6231336421
LDO,0x000000000004444c5dc75cb358380d2e3de08a90,1188674.5388310244
LDO,0x3dd48ad861f0b77d1312f9c95a13e52871ca95e0,1148387.5950806555
LDO,0x49015c2ef65039eacaab8500d54fe9521f3807f2,1140314.7616400267
LDO,0x2fc366efbd0f2f13228d5aac895680057f1dc5a5,1124850.0134716097
LDO,0x0d5bed5913cb8d843cc069846d6c3294e711f662,1107778.0003648447
LDO,0xc80afd311c9626528de66d86814770361fe92416,1090566.4652470788
LDO,0x52f892b2835e00246fa4d609da729c4570642016,1082052.6604061571
LDO,0xcc282e2004428939ee5149a9e7872f0b4d5d5ec7,1067250.0610523392
LDO,0xf8d3188e8349de474a2b086976cda158b4e109db,1052007.0
LDO,0xa1d894fe805303c60a5dbc484d0214bc28acce32,1036811.3646014045
LDO,0x24207c2cc8eb37de0a7759b6c780510ea27d2c45,1016765.5765026346
LDO,0x92842eba4fed09757cc06e6ac23972af8799d6c7,1012312.822724
LDO,0x791a0c8564a3b300698f592edf25fc5377169553,1011993.8502000001
LDO,0xa74172c8caa6b52ee2677a13f3d096f58dd377dd,1000000.6021953223
LDO,0x1d4296c4f14cc5edceb206f7634ae05c3bfc3cb7,1000000.0
LDO,0xd587796f10a50719338d4d349efb7520b4cad22c,999999.9999999995
LDO,0x73a520795fa2135780865a9ecceee796b20202f1,998260.2426755843
LDO,0xab1ccddefcb731e7409a448e6a6abe1672a58d85,996544.53
LDO,0x86b4ec24f35a21d76646350a47c06e042d05e3dd,949103.7010447189
LDO,0x7b20cfc82022b8b24085367a1d4787a02cf76b46,944102.1471262301
LDO,0xc219ea00db36cc3d2c57f80c80dd4917c7c1d326,938340.834653
LDO,0x223acb1d97b9a490ef9ffaaed391d6ce75f05ccb,909670.0586964674
LDO,0x8f9666f68372c39d85cf75d2f1d3cc8e18d8ec27,885443.6944887722
LDO,0x76819406044c555a9ad2f05376eb1abee36e286b,864688.0908502816
LDO,0x458e433ae998f687d5ec323077521fc2721c5e20,864187.55
LDO,0x6c7edaf652963116b225cfdf6b9ed8afd7ab9221,854649.4042176933
LDO,0x66227c1bd2993b5b0142a605476b78571071e411,833234.0
LDO,0xd74726eef989e381b87ab0546e9cf2ffbbcb9dd0,823397.9037332899
LDO,0x71956a1cd5a4233177f7bf9a2d5778851e201934,819522.5458955736
LDO,0x1494ca1f11d487c2bbe4543e90080aeba4ba3c2b,804899.2047441857
LDO,0x6a3e5f7b25f67ad08814af7d2e1ee48db598c064,800000.0
LDO,0x9663ca24ef69ee379b4a18981858f65cb804cc2d,800000.0
LDO,0x9a44fd41566876a39655f74971a3a6ea0a17a454,797905.5534584814
LDO,0x1887fa9edadeab7562b01cc3f4fa246ace2c3cdd,793398.0985063254
LDO,0xd853e58f695f54998b2bcfb068efdeb951db430d,792394.36
LDO,0xb671e841a8e6db528358ed385983892552ef422f,789286.695906203
LDO,0x18709e89bd403f470088abdacebe86cc60dda12e,777584.0
LDO,0xb8ba36e591facee901ffd3d5d82df491551ad7ef,770035.7277523214
LDO,0x99e6de58c9ac195bd4ab88032c2b190f404704d4,766485.8894511177
LDO,0x5e4fb0f0f5fa9e274723949a796a9bf107f4b57d,766130.3115407649
LDO,0xdfd5293d8e347dfe59e90efd55b2956a1343963d,759462.7397563718
LDO,0xcd531ae9efcce479654c4926dec5f6209531ca7b,749987.3043480793
LDO,0x07666923a19c2d6e01a6c64840c39585ebf0aad8,740431.7479634304
LDO,0x9d94ef33e7f8087117f85b3ff7b1d8f27e4053d5,728085.5594180361
LDO,0x3c94f9fbb34b478ed409442b686e8d3dc4e4229c,721309.3524510213
LDO,0x4fb312915b779b1339388e14b6d079741ca83128,716670.0
LDO,0x56cf1ee795398619b68ab539035b77f03e475ec4,713551.27
LDO,0xd97107064b8c7520aae6c6e6ca75bb2aa73b670d,702179.9643149648
LDO,0x85257f61bcf59f7498007d8e08d6efb7ac1eef4c,692860.4602896515
LDO,0xf8191d98ae98d2f7abdfb63a9b0b812b93c873aa,690947.4528372637
LDO,0x8874b8858c6f0d0abd2e961f8f8982977dbc517f,689075.266185
LDO,0x3cc936b795a188f0e246cbb2d74c5bd190aecf18,678002.8125938489
LDO,0x8afacaa08de7189d84db9d87b9c21c2f1ac28113,677589.1842899184
LDO,0x4cbb60c6d0c823e99014d6a98a825eaf45ca408e,671999.0434000001
LDO,0xebabdd7bb2152e8f43dc8c6df0848f4969977602,652740.6285858304
LDO,0xdf3288f9e54809c97edabdeb8f0c3c26ce0f5192,648372.3648546458
LDO,0xe3ecd65cf2ad2eba2aa2be1d0894753b2172abd1,644340.6015625
LDO,0x58f157d0ee32fc6a0d036decb9d1ade8a5f2d637,625000.874
LDO,0xe97bc863a73fb4c7ae1e7d474d4a9908992b3132,611002.6044500001
LDO,0xaa2e4bf1c31944560861f6eb79f7be8bef35322d,603613.07136
LDO,0x55bc991b2edf3ddb4c520b222be4f378418ff0fa,600102.9807016485
LDO,0xafcd96e580138cfa2332c632e66308eacd45c5da,600015.0
LDO,0xb80482a865b056a50b9a3223992ad5b39565d212,594697.3774027927
LDO,0x517ce9b6d1fcffd29805c3e19b295247fcd94aef,591016.55
LDO,0xf440139a62b2b939699c5b3e09f88e40464ab9bc,588035.3171280468
LDO,0xe3c566fd695fc63cd055c6066a8b737e4a03d546,585380.18951
LDO,0x82282b1d2d0b63b9cfff58af2f2cead81a64e315,576755.37667815
LDO,0x3c0f1eb74d98de584e6b46089f94ba3086eefa9c,570680.011815635
LDO,0x44a13caef95ce26799ecb23212abc0219a1f86bb,567711.696927
LDO,0x8b1674a617f103897fb82ec6b8eb749ba0b9765b,566835.9763046656
LDO,0xbd02c51150a4ab6ce97b9de2025644594f3e75b8,554106.2862132444
LDO,0xc2295782616ee7ae4bfe914dbd53550479b44f9b,553588.180314
LDO,0xd803472c47a87d7b63e888de53f03b4191b846a8,530916.1033670206
LDO,0xb334a61a6209f14b5fa5f1684a4ed7621f66e1ef,527164.5971293281
