orchestrator,total_stake_lpt,active
0x02b6aac33a397aaadee5227c70c69bb97f2cc529,65717.988613546549458988,true
0x22b1bcc0c0db224bfc56c9b95a2db407548666ee,62903.008117379242321476,true
0x0d509d8b46b072f8fc330942b2e3cc0ac34d6d8d,60295.406510775836068206,true
0xeb6dde1a9e305fe8b1556056bbdf14d25d3a878b,59361.028428585166693665,true
0xaa1dd0958b7c5c5a49550315c9511a53c4d65fba,58795.941770010227628518,true
0xb46618598853361e4d96ce69ec6807f3b56dd2d0,58757.005444506306957919,true
0x0fc80afb7876f579f1fb1c4d1c37cf1339038658,55919.990478508327214513,true
0x186a59938baf5ca4023cd6f87cc00684bcffdf65,49186.878584794634662103,true
0xbc144f1a34f5b858900413d35bfb7cb6b3b0d65b,48807.315752162539865822,true
0x16d335f6265ae2dcf6022863e9d9346ab8a73841,47115.422666912352724466,true
0x08f76e106a2dd4f6385efc8ea6c69a2816082461,43881.44475791458535241,true
0x5f51c8eae3c97364613c48b42824be47aeb47ad0,42767.700615603935148101,true
0xb5164d6b780786338c52f4787abba0e4a371af4d,41632.935284061182755977,true
0x58887c5fe7d021ec63b72ac4021980027e6fafe1,37297.469204434099083301,true
0xf566161923750b162f0cbef901861bb134c371a9,36362.527177324700460304,true
0x2cc8aec211fdc372c0f7e4d1add1675733381328,36301.835633804686949588,true
0x980998e39d29dc5a92e7403fc9cd47e68b63ad5f,34519.435233194009924773,true
0x5d98f8d269c94b746a5c3c2946634dcfc75e5e60,28532.406789944259799086,true
0x9c10672cee058fd658103d90872fe431bb6c0afa,22684.891486640626681037,false
0xd0aa1b9d0cd06cafa6af5c1af272be88c38aa831,21867.244104213248647284,false
0xbdcbe92befbf36d63ec547bba5842997d77dc841,21112.336481979764357675,true
0x10742714f33f3d804e3fa489618b5c3ca12a6df7,19699.204993956445832737,true
0x41239fb65360981316fcb4a8548320d305f9496d,19194.459171816382877296,true
0x51d191950353bdf1d6361e9264a49bf93f6abd4a,18628.528771107939974172,true
0x4ff088ac5422f994486663ff903b040692797168,17982.816409187005774584,false
0xd7775cf383481512c62e030e42e51ab7ec2adaee,16646.320189021647820482,false
0xb120a72a9264e90092e8197c0fabd210c18bc5be,15820.867965879326220602,true
0x13364c017b282fb033107b3c0ccbf762332aceba,13336.130646776042340207,true
0x43793ab4a56e5d4c263e6320d59072e01819b6c9,12026.7821174718956172,true
0x6c06d3246fbb77c4ad75480e03d2a0a8eaf68121,11850.139991533173088101,true
0x0bed8295866b81b80f9aff874455b82a887e185a,10176.392058044439181685,true
0x5be44e23041e93cdf9bcd5a0968524e104e38ae1,9745.63409299309932976,true
0x5ea1b47194b98044fca8a187237d9704c91478ca,8455.210978104592868476,true
0x75fbf65a3dfe93545c9768f163e59a02daf08d36,8282.055729072450048989,true
0x9727b492c4af6c4a8caf4cc1ba6fbb332206d794,8261.101988548080043984,true
0xd93e0a15511935889aec76f79d54dff0e27af82e,7606.935359903634889633,true
0xd21ee13175e0cf56876e76b0fa4003cd19e9ad2e,7395.767471235227276338,true
0x22a48674a6fdf9335d89b6dbc05c38e2dc181475,6830.681623214657520293,true
0xe0a4a877cd0a07da7c08dffebc2546a4713147f2,6468.983477105951351405,false
0x22ae24c2d1f489906266609d14c4c0387909a38a,4856.998055261317858822,false
0x6e07be22f953f716ac2e17bae1a4de3baa3a64b4,4112.316767782808710763,true
0xd84781e1a9b74d71ea76cda8bb9f30893bfd00d1,4024.456056460080617398,false
0x3844e08175d5cc0525975c32d607717ddc8ae47e,1771.368901606576173435,false
0x5ee7da5c64150b68131692c227192fb28a240e52,743.340389249856343667,false
0x07cf42f48b6c668bdac50fee95ac0bbfe88ac6e1,721.604403266285771679,false
0x353a5c6ca8473212430c6dbb853dd65bb6e00c3d,657.395182072700663412,false
0x2ea19c3ba9d17dd14c1d10ec818d011d2a05924e,610.007599456921866476,false
0x76a65814b6e0fa5a3598ef6503fa1d990ec0e61a,508.971710315161885774,false
0x001ffe939761eea3f37dd2223bd08401a3848bf3,387.984112735999360666,false
0xf4e8ef0763bcb2b1af693f5970a00050a6ac7e1b,377.95285674238982665,false
0x9aa1a6f29434f773392487408fca0608a6fc48f6,329.980027669152320868,false
0xa5e37e0ba14655e92deff29f32adbc7d09b8a2cf,306.123281629504560897,false
0xcb69ffc06d3c218472c50ee25f5a1d3ca9650c44,252.86677788404691114,false
0xd8fda6c264ed4a674539ea3883951a16ad36b9a8,225.015286770979116682,false
0x16a72bdb3017196825bc53809b87f96fbee31f6c,194.292171712102259562,false
0x808be72cea7310f1817759be52381fe116b792b3,183.797165025828149965,false
0x3e2b450c0c499d8301146367680e067cd009db93,143.091598684085852256,false
0xf63b84aaa39c4406ebf2d1e3d6acb1fb51f19dbd,141.290622888967590143,false
0x1d5919ebdc911ea2f3b9f6cdc6f8df8010b36541,135.582409596696550125,false
0x481efb669b423cfaffa49890205427dea9b3d693,121.288842732679313485,false
0x20dbd489c47830e30cf2ce17aee7d94251db7040,120.993735194766372842,false
0xa05f25ea504d39c524427cca2beb52e597c3a98b,93.235499239235807067,false
0xf761ab303471382f3ec54553b32bd52bedaf6e19,81.079223820874474882,false
0x9e14de5cc84e437518c2c303c88570fe13f0ad15,75.320068641008347754,false
0xe2d52eba234654a179425ad69594d8ef5574ad5b,59.716833558044882579,false
0xb8babb6744a31a19754cc0c06bcbc35fc6ead75d,57.295000000000001705,false
0x86c5a8231712cc8aaa23409b5ad315f304c09531,46.147784122576034349,false
0x24493f01910158bce088e2dbc1458b57cf274974,40.001653748374920383,false
0x8ad00ef5a4323ae2a5501c3baba3788547c6dd1c,36.643490996467406262,false
0x78a5a644801f7f62b91f26032bc1b7976a4f6790,35.016275036958155908,false
0xb116a669165616872e014a1b90a25ca41c3825ad,34.41562001667418258,false
0x6aa8f3075406015aa66057b34ae0073777025a93,32.222272064836396055,false
