protocol,token,category,revenue,revenue_source,log_revenue,fdv,log_fdv,market_cap,log_market_cap,treasury,log_treasury,rev_per_fdv,rev_per_mcap,subsidy_ratio,subsidy_source,inv_subsidy_ratio,insider_pct_initial,insider_count_frac_top10,insider_balance_frac_top10
LayerZero,ZRO,L1_L2_Infra,3530172.0,TT,15.07685715293491,1870000000.0,21.349204267812908,472000111.0,19.972489778719293,42000000.0,17.553180176247643,0.001887792513368984,0.007479176207227629,,none,,57.7,0.3,0.2121804790794024
Wormhole,W,L1_L2_Infra,257976.0,TT,12.460621836321009,145638900.0,18.796640828372894,81449390.0,18.21549240372707,35000000.0,17.37085861945369,0.00177133993733817,0.00316731653852779,,none,,23.6,0.3,0.1540966307835928
Morpheus AI,MOR,DePIN,997116.0,TT,13.81262239122309,12703792.0,16.35741108953905,,,,,0.0784896352207278,,1.54,on-chain,0.6493506493506493,0.0,0.3,0.2171227438250501
Axelar,AXL,L1_L2_Infra,33312.0,TT,10.413672971414696,57728891.7214417,17.871268329233608,53362843.0,17.79262523776253,18000000.0,16.70588231586044,0.0005770420842433605,0.0006242545960304252,,none,,46.5,0.1,0.4334804098643276
MetaDAO,META,DeFi,182088.0,TT,12.11224536568602,,,,,1200000.0,13.997832114758229,,,,none,,,1.0,0.4143676736088373
Lido,LDO,DeFi,80518092.8,TT,18.203992472414612,326931000.0,19.605259697421648,277578113.0,19.441612939828655,450000000.0,19.92475814072864,0.24628466801863388,0.29007363703780203,0.0761453977210945,TT,13.13277006790091,57.18,0.1,0.0245100286570641
Gitcoin,GTC,Social_Dead,,none,,7593700.0,15.842829514121279,6643467.0,15.70914452373993,9000000.0,16.012735135300492,,,,none,,35.0,0.4,0.07610733460216129
Token Engineering Commons,TEC,Social_Dead,,none,,,,,,800000.0,13.592367006650065,,,,none,,,0.2,0.0905797435946608
Aethir,ATH,DePIN,111334358.0,TT,18.528048465823325,472000000.0,19.97248954354983,472000000.0,19.97248954354983,,,0.23587787711864408,0.23587787711864408,0.355,TT,2.8169014084507045,62.0,0.3,0.32774116135865416
io.net,IO,DePIN,21000000.0,TT,16.860032995687696,,,,,,,,,0.4,TT,2.5,40.0,0.0,0.0
Hyperliquid,HYPE,DeFi,780000000.0,TT,20.47480447764791,35000000000.0,24.278613898435825,9300000000.0,22.95328023710562,,,0.022285714285714287,0.08387096774193549,0.001,TT,1000.0,29.8,0.0,0.0
Balancer,BAL,DeFi,3300000.0,TT,15.009433026436708,13800000.0,16.440179150127435,9300000.0,16.045524958123483,13700000.0,16.432906390798355,0.2391304347826087,0.3548387096774194,,none,,25.0,0.0,0.0
