symbol,address,cex_name,rank,share_top1000_pct,is_new_cex_from_phase4,already_in_exclusions_log,hhi_protocol_raw_pre,hhi_with_existing_excl,hhi_post_new_cex_excl,hhi_shift_from_new_cex,existing_exclusion_count,new_cex_to_add_count
ETHFI,0x0529ea5885702715e83923c59746ae8734c553b7,Bitpanda 18,141,0.03722014559688304,True,False,0.066775,0.041725,0.041894,+0.000169,2,4
ETHFI,0xa023f08c70a23abc7edfc5b6b5e171d78dfc947e,Crypto.com 22,143,0.03529291114109376,True,False,0.066775,0.041725,0.041894,+0.000169,2,4
ETHFI,0xab782bc7d4a2b306825de5a7730034f8f63ee1bc,Bitvavo Hot Wallet,147,0.0334627381480493,True,False,0.066775,0.041725,0.041894,+0.000169,2,4
GMX,0x5a52e96bacdabb82fd05763e25335261b270efcb,Binance 19,5,2.331903248651738,False,True,0.388968,0.064722,0.065577,+0.000855,4,2
GMX,0xf977814e90da44bfa03b6295a0616a897441acec,Binance 8,6,2.2780599587597234,False,True,0.388968,0.064722,0.065577,+0.000855,4,2
GMX,0x0529ea5885702715e83923c59746ae8734c553b7,Bitpanda 18,41,0.11418366743874667,True,False,0.388968,0.064722,0.065577,+0.000855,4,2
GMX,0xab782bc7d4a2b306825de5a7730034f8f63ee1bc,Bitvavo Hot Wallet,43,0.10964411777561876,True,False,0.388968,0.064722,0.065577,+0.000855,4,2
GRT,0x3a5cc8689d1b0cef2c317bc5c0ad6ce88b27d597,Luno Wallet,8,1.5670383058747492,True,False,0.099984,0.032983,0.034720,+0.001737,4,4
GRT,0x5a52e96bacdabb82fd05763e25335261b270efcb,Binance 19,13,0.9839272598145047,False,False,0.099984,0.032983,0.034720,+0.001737,4,4
GRT,0xa023f08c70a23abc7edfc5b6b5e171d78dfc947e,Crypto.com 22,49,0.31967084209825736,True,False,0.099984,0.032983,0.034720,+0.001737,4,4
GRT,0x0529ea5885702715e83923c59746ae8734c553b7,Bitpanda 18,59,0.22096294951589376,True,False,0.099984,0.032983,0.034720,+0.001737,4,4
GRT,0xab782bc7d4a2b306825de5a7730034f8f63ee1bc,Bitvavo Hot Wallet,121,0.06732289910127821,True,False,0.099984,0.032983,0.034720,+0.001737,4,4
GTC,0xab782bc7d4a2b306825de5a7730034f8f63ee1bc,Bitvavo Hot Wallet,16,1.10142080506604,True,False,0.076552,0.021504,0.022473,+0.000970,4,3
GTC,0xa023f08c70a23abc7edfc5b6b5e171d78dfc947e,Crypto.com 22,22,0.8006172438035635,True,False,0.076552,0.021504,0.022473,+0.000970,4,3
GTC,0x0529ea5885702715e83923c59746ae8734c553b7,Bitpanda 18,132,0.03261214519380601,True,False,0.076552,0.021504,0.022473,+0.000970,4,3
IOTX,0x0529ea5885702715e83923c59746ae8734c553b7,Bitpanda 18,108,0.0036739119167236186,True,False,0.106455,0.080958,0.081006,+0.000048,8,1
LDO,0xf977814e90da44bfa03b6295a0616a897441acec,Binance 8,1,11.257651368725172,False,True,0.039052,0.007718,0.007793,+0.000075,9,5
LDO,0x28c6c06298d514db089934071355e5743bf21d60,Binance 14,12,0.9972404485902873,False,True,0.039052,0.007718,0.007793,+0.000075,9,5
LDO,0xa9d1e08c7793af67e9d92fe308d5697fb81d3e43,Coinbase 10,21,0.5449572219914202,False,False,0.039052,0.007718,0.007793,+0.000075,9,5
LDO,0x0529ea5885702715e83923c59746ae8734c553b7,Bitpanda 18,94,0.13641222339809267,True,False,0.039052,0.007718,0.007793,+0.000075,9,5
LDO,0xab782bc7d4a2b306825de5a7730034f8f63ee1bc,Bitvavo Hot Wallet,179,0.052129593260889666,True,False,0.039052,0.007718,0.007793,+0.000075,9,5
LDO,0xa023f08c70a23abc7edfc5b6b5e171d78dfc947e,Crypto.com 22,186,0.049008867038068095,True,False,0.039052,0.007718,0.007793,+0.000075,9,5
LDO,0xedc6bacdc1e29d7c5fa6f6eca6fdd447b9c487c9,Bitvavo,297,0.021529643358648213,True,False,0.039052,0.007718,0.007793,+0.000075,9,5
LDO,0x3a5cc8689d1b0cef2c317bc5c0ad6ce88b27d597,Luno Wallet,446,0.01139989963720062,True,False,0.039052,0.007718,0.007793,+0.000075,9,5
LPT,0xf977814e90da44bfa03b6295a0616a897441acec,Binance 8,2,8.104600325180263,False,True,0.776355,0.198868,0.198868,+0.000000,2,0
MPL_SYRUP,0xab782bc7d4a2b306825de5a7730034f8f63ee1bc,Bitvavo Hot Wallet,85,0.09040080433266454,True,False,0.216165,0.024243,0.024374,+0.000130,2,2
MPL_SYRUP,0x0529ea5885702715e83923c59746ae8734c553b7,Bitpanda 18,138,0.03190430523017829,True,False,0.216165,0.024243,0.024374,+0.000130,2,2
OP,0xf977814e90da44bfa03b6295a0616a897441acec,Binance 8,3,6.147146876268572,False,True,0.120660,0.009281,0.009289,+0.000008,8,1
OP,0x0529ea5885702715e83923c59746ae8734c553b7,Bitpanda 18,326,0.01981232619930299,True,False,0.120660,0.009281,0.009289,+0.000008,8,1
POL,0xa023f08c70a23abc7edfc5b6b5e171d78dfc947e,Crypto.com 22,16,0.4584091642707594,True,False,0.227909,0.034750,0.035581,+0.000831,2,3
POL,0x0529ea5885702715e83923c59746ae8734c553b7,Bitpanda 18,114,0.024127606664650504,True,False,0.227909,0.034750,0.035581,+0.000831,2,3
POL,0xedc6bacdc1e29d7c5fa6f6eca6fdd447b9c487c9,Bitvavo,791,0.000735604424335986,True,False,0.227909,0.034750,0.035581,+0.000831,2,3
RPL,0xab782bc7d4a2b306825de5a7730034f8f63ee1bc,Bitvavo Hot Wallet,25,0.31187067796134726,True,False,0.252967,0.039154,0.040378,+0.001225,2,4
RPL,0xedc6bacdc1e29d7c5fa6f6eca6fdd447b9c487c9,Bitvavo,30,0.25893020280272355,True,False,0.252967,0.039154,0.040378,+0.001225,2,4
RPL,0xa023f08c70a23abc7edfc5b6b5e171d78dfc947e,Crypto.com 22,38,0.16833842866209126,True,False,0.252967,0.039154,0.040378,+0.001225,2,4
RPL,0x0529ea5885702715e83923c59746ae8734c553b7,Bitpanda 18,57,0.08534875271747852,True,False,0.252967,0.039154,0.040378,+0.001225,2,4
RPL,0x5a52e96bacdabb82fd05763e25335261b270efcb,Binance 19,71,0.06871651968196739,False,False,0.252967,0.039154,0.040378,+0.001225,2,4
SYRUP,0xab782bc7d4a2b306825de5a7730034f8f63ee1bc,Bitvavo Hot Wallet,80,0.16854546332461176,True,False,0.061686,,0.061965,+0.000279,0,2
SYRUP,0x0529ea5885702715e83923c59746ae8734c553b7,Bitpanda 18,129,0.05948316441170476,True,False,0.061686,,0.061965,+0.000279,0,2
UNI,0x3a5cc8689d1b0cef2c317bc5c0ad6ce88b27d597,Luno Wallet,110,0.12378028620700747,True,False,0.100843,0.009784,0.009846,+0.000062,2,5
UNI,0xa023f08c70a23abc7edfc5b6b5e171d78dfc947e,Crypto.com 22,210,0.044166758133039614,True,False,0.100843,0.009784,0.009846,+0.000062,2,5
UNI,0x0529ea5885702715e83923c59746ae8734c553b7,Bitpanda 18,322,0.020329668070238668,True,False,0.100843,0.009784,0.009846,+0.000062,2,5
UNI,0xedc6bacdc1e29d7c5fa6f6eca6fdd447b9c487c9,Bitvavo,474,0.00798618452226206,True,False,0.100843,0.009784,0.009846,+0.000062,2,5
UNI,0xab782bc7d4a2b306825de5a7730034f8f63ee1bc,Bitvavo Hot Wallet,483,0.007657967535919706,True,False,0.100843,0.009784,0.009846,+0.000062,2,5
ZRO,0xf977814e90da44bfa03b6295a0616a897441acec,Binance 8,17,1.1042273246050824,False,False,0.027439,0.014321,0.014345,+0.000024,2,5
ZRO,0x28c6c06298d514db089934071355e5743bf21d60,Binance 14,90,0.22047243157004376,False,False,0.027439,0.014321,0.014345,+0.000024,2,5
ZRO,0x0529ea5885702715e83923c59746ae8734c553b7,Bitpanda 18,218,0.027831834723528615,True,False,0.027439,0.014321,0.014345,+0.000024,2,5
ZRO,0xa9d1e08c7793af67e9d92fe308d5697fb81d3e43,Coinbase 10,253,0.019683493276631096,False,False,0.027439,0.014321,0.014345,+0.000024,2,5
ZRO,0xab782bc7d4a2b306825de5a7730034f8f63ee1bc,Bitvavo Hot Wallet,272,0.017026920703725936,True,False,0.027439,0.014321,0.014345,+0.000024,2,5
ZRO,0xa023f08c70a23abc7edfc5b6b5e171d78dfc947e,Crypto.com 22,284,0.014730754843854185,True,False,0.027439,0.014321,0.014345,+0.000024,2,5
ZRO,0xedc6bacdc1e29d7c5fa6f6eca6fdd447b9c487c9,Bitvavo,396,0.005389998161787169,True,False,0.027439,0.014321,0.014345,+0.000024,2,5
ZRO,0x3a5cc8689d1b0cef2c317bc5c0ad6ce88b27d597,Luno Wallet,443,0.004329578184405987,True,False,0.027439,0.014321,0.014345,+0.000024,2,5
