protocol,address,votes_count,banzhaf_power
AAVE,0x4da27a545c0c5B758a6BA100e3a049001de870f5,2747125319199463129610556,0.33478836526128514
AAVE,0xC697051d1C6296C24aE3bceF39acA743861D9A81,968501512352076653382911,0.06437999089743059
AAVE,0x25F2226B597E8F9514B3F68F00f494cF4f286491,984498999692264940686734,0.06342835864123464
AAVE,0x4a49985B14bD0ce42c25eFde5d8c379a48AB02F3,841408152027473589504571,0.05734618726467789
AAVE,0xA700b4eB416Be35b2911fd5Dee80678ff64fF6C9,678661002622511657889208,0.0477471140717448
AAVE,0x47ac0Fb4F2D84898e4D9E7b4DaB3C24507a6D503,500000000000000000000000,0.03574827258057843
AAVE,0xF977814e90dA44bFA03b6295A0616a897441aceC,500000100000000000000000,0.033348504282345155
AAVE,0x8e74Ca5d096CD0f05B1beC21c3D1Ac94d5970F94,363995430000000000000000,0.025569944970830403
AAVE,0x317625234562B1526Ea2FaC4030Ea499C5291de4,340130561303032076716466,0.023604617485208326
AAVE,0x5a801a9418D036fD453078c3ADCB761fdc5Ae695,281183826350276532626608,0.01977740080268112
ARB,0xb4c064f466931B8d0F637654c916E3F203c46f13,32356232635466191207258781,0.1163535490630283
ARB,0xA5dF0cf3F95C6cd97d998b9D990a86864095d9b0,16871650736825973945613016,0.054825344667476246
ARB,0xdb5781a835b60110298fF7205D8ef9678Ff1f800,14111765080858653634743601,0.045050836964545087
ARB,0xC7782d8bFBE4219A63Ed8773a7b67b1a9B645Cfa,13537858018645441373639325,0.04306259970950306
ARB,0xb5B069370Ef24BC67F114e185D185063CE3479f8,13352946507994778019844882,0.042574469604971785
ARB,0x2e3BEf6830Ae84bb4225D318F9f61B6b88C147bF,12164684287770606985458204,0.038681334381027214
ARB,0x186e505097BFA1f3cF45c2C9D7a79dE6632C3cdc,11381676747710059917101125,0.0354430078338929
ARB,0x11cd09a0c5B1dc674615783b0772a9bFD53e3A8F,11148940307338342071251002,0.03494297211705598
ARB,0x2ef27b114917dD53f8633440A7C0328fef132e2F,10057098483469155599542322,0.03164511750839346
ARB,0x56721131d21a170fBb084734DcC399A278234298,10032458693839235094811944,0.03144272209919756
COMP,0x3B6431fb5C71105cB3EaB2Cf058B135d4cCFc9C5,353988249373081048839048,0.12787230093423252
COMP,0xb06DF4dD01a5c5782f360aDA9345C87E86ADAe3D,319126955832863298221927,0.1077398997710821
COMP,0x3FB19771947072629C8EEE7995a2eF23B72d4C8A,104785745700000000000000,0.03465940728825094
COMP,0x8169522c2C57883E8EF80C498aAB7820dA539806,101007831006566257041086,0.033483882942523045
COMP,0x36cc7B13029B5DEe4034745FB4F24034f3F2ffc6,87607246671131343554531,0.029054012250201076
COMP,0x683a4F9915D6216f73d6Df50151725036bD26C02,85146330129563946531344,0.02884365526201819
COMP,0x54A37d93E57c5DA659F508069Cf65A381b61E189,84986366967779400456176,0.028398193404689725
COMP,0x66cD62c6F8A4BB0Cd8720488BCBd1A6221B765F9,79992874062626087102961,0.02631937140382355
COMP,0x7d1a02C0ebcF06E1A36231A54951E061673ab27f,64999000000000000000000,0.020627358782404258
COMP,0xB933AEe47C438f22DE0747D57fc239FE37878Dd1,59999666649519416753556,0.019934418115448865
OP,0x06AD892CE23c136BBda3a821570343A2Af3E2914,7316058512182453965353040,0.1115201735758471
OP,0xf11B6a8c3CB8bb7dbC1518A613b10CEb0BBfc06b,5200755983903675865565780,0.07350429323238851
OP,0xEff8d84e0fD304550DA242040CcD45bd44CE71f1,5001113335294676377100951,0.07008817283722647
OP,0x1B686eE8E31c5959D9F5BBd8122a58682788eeaD,4087162348414932687472378,0.05561582494691164
OP,0xF4B0556B9B6F53E00A1FDD2b0478Ce841991D8fA,2271589894524050121863248,0.030756624503739265
OP,0x429F9aDA43e9F345CbB85EC88681BB70Df808892,2206599176270855458412821,0.03002954482503924
OP,0x5e349eca2dc61aBCd9dD99Ce94d04136151a09Ee,1985005440497873509050908,0.026901948111901025
OP,0x2B888954421b424C5D3D9Ce9bB67c9bD47537d12,1835475247344206997285790,0.02483611854861047
OP,0x3EEe61B92C36e97Be6319BF9096A1ac3c04a1466,1769996597520328556868305,0.023947465607977104
OP,0xed11e5eA95a5A3440fbAadc4CC404C56D0a5bb04,1351483038104406997962249,0.018015418705567353
UNI,0x465f39229c30D8171C540a9411d1B6Bd894F8aA3,14986062248955096970090290,0.07269902108043715
UNI,0x11dA8Ae234EDd16b135EDC47e5d9beCC8717ECdC,15000002250692637600296876,0.07102087325840369
UNI,0x19D373d0F95F00d368A8d57605Af746C4Ea9B1D0,9295469033969200000000000,0.04248200134666183
UNI,0x030d6830dc8FF125850390dA620Fa3E12DEcD437,9000000000100000000000000,0.041197493137204125
UNI,0x53689948444CfD03d2Ad77266b05e61B8Eed3132,9003825422009728457633380,0.04103175014243539
UNI,0x6d714455D4B28595d4085AA7c8E4f499492875C3,8007117746541906912131389,0.0369399699590822
UNI,0x1d8F369F05343F5A642a78BD65fF0da136016452,8000000905326101490800535,0.03676386802714041
UNI,0xe7925D190aea9279400cD9a005E33CEB9389Cc2b,8002091951365909661861479,0.03633915160304553
UNI,0x88E15721936c6eBA757A27E54e7aE84b1EA34c05,7250000162063811489170084,0.03328326513699694
UNI,0x5F246D7D19aA612D6718D27c1dA1Ee66859586b0,7300000000100000000000000,0.032910343398767285
